Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Space Invader","Sucka Right > Sucka Cave > Tennessee",https://www.mountainproject.com/route/119963189/space-invader,3.8,-1,Sport,5.12+,1,60,35.18321,-85.44494
"Deep Water Horizon","The Deep End > Deep Creek > Tennessee",https://www.mountainproject.com/route/107596345/deep-water-horizon,3.5,-1,Sport,5.12+,1,65,35.29376,-85.19757
"The Dark Star","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/106613070/the-dark-star,3.0,-1,Sport,5.12+,1,85,35.06887,-85.4194
"Freak of the Creek","Main Wall > Deep Creek > Tennessee",https://www.mountainproject.com/route/120896647/freak-of-the-creek,3.0,-1,Sport,5.12+,1,60,35.29446,-85.19654
"Country Fried","Sphincter Wall > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/122667474/country-fried,2.0,-1,Sport,5.12+,1,55,35.1543,-85.68281
"Shrimp n Grit","West Cliff > Dogwood > Tennessee",https://www.mountainproject.com/route/123512269/shrimp-n-grit,3.0,-1,"Sport, TR",5.12+,1,,35.49623,-85.08593
"Diving for Pearls","Amazing Grays > Graysville - Dinner Branch > Tennessee",https://www.mountainproject.com/route/124500153/diving-for-pearls,3.0,-1,Sport,5.12+,1,,35.46462,-85.11185
"No Shelter","RAGE Wall > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/125713281/no-shelter,3.0,-1,Sport,5.12+,1,75,35.33394,-85.45868
