Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Way Hammered","The Dry Wall > Echo Canyon > Wasatch Back > Wasatch Range > Utah",https://www.mountainproject.com/route/106187104/way-hammered,3.0,-1,Sport,5.12b/c,1,75,41.00293,-111.38901
Apetizer,"Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108109324/apetizer,3.3,-1,Sport,5.12b/c,1,50,40.45152,-111.67645
Crankenstein,"Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107301616/crankenstein,3.5,-1,Sport,5.12b/c,1,70,41.66711,-111.62642
"One Taste","The Arch Wall > CLOSED - The Soul Asylum > Utah Hills > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/110051080/one-taste,3.8,-1,Sport,5.12b/c,1,70,37.07357,-113.81914
"Da Riddler","Black and Tan > Woodbury Road Crags > Utah Hills > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/106282996/da-riddler,3.0,-1,Sport,5.12b/c,1,50,37.0175,-113.8518
"Between The Lines","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107714997/between-the-lines,3.5,-1,Sport,5.12b/c,1,70,40.44666,-111.68668
"Church of Skatin","Hell Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106518794/church-of-skatin,2.6,-1,Sport,5.12b/c,1,45,40.44645,-111.69416
"Outer Darkness","Lower Tier > Graveside Matter Wall > Cedar Canyon > Cedar City > Southwest Utah > Utah",https://www.mountainproject.com/route/116980633/outer-darkness,3.9,-1,Sport,5.12b/c,1,65,37.61673,-112.93073
"Consider Me Gone","Crag in the Sky > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118648010/consider-me-gone,4.0,-1,Sport,5.12b/c,1,70,41.79605,-111.63735
"The Almighty","Crag in the Sky > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118647984/the-almighty,4.0,-1,Sport,5.12b/c,1,80,41.79605,-111.63735
