Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"OK Corral","Trad Rock > Isle of Ewe > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738344/ok-corral,2.5,-1,Sport,5.8-,1,80,31.87484,-110.01472
"Hungry Hungry Hobo","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/107651204/hungry-hungry-hobo,2.4,-1,Sport,5.8-,1,100,35.3874,-111.61355
"Easy Pool","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106376284/easy-pool,2.2,-1,Sport,5.8-,1,,33.3104,-111.06756
"St. Valentines Day Massacre","Mr. Meanor Wall > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738491/st-valentines-day-massacre,2.1,-1,Sport,5.8-,1,60,32.33324,-110.7249
Re-Gifting,"The Draw Pile. > Crags Against Humanity > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/111851537/re-gifting,2.0,-1,Sport,5.8-,1,80,32.32441,-110.70657
"Exposure in the Making","Upper Sky Valley > Sky Valley > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105813639/exposure-in-the-making,2.4,-1,Sport,5.8-,1,60,32.40294,-110.69481
"Scorpion King","Forehand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738635/scorpion-king,1.8,-1,Sport,5.8-,2,150,32.31399,-110.74264
"Strictly Commercial","Zappa Dome > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106293051/strictly-commercial,2.2,-1,Sport,5.8-,1,90,31.95347,-109.96365
"Water Wings","Kitty Pool > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/117815872/water-wings,3.0,-1,Sport,5.8-,1,100,33.30559,-111.07749
"Twice As Nice","Northwest Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106263991/twice-as-nice,2.5,-1,Sport,5.8-,2,250,32.43221,-110.79851
"Smooth Sailing","The Sailing Wall > Higher Solitude > Solitude Canyon > Mt. Elden Crags > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106901150/smooth-sailing,2.1,-1,Sport,5.8-,1,50,35.24091,-111.61831
"Cactus Kiss","Cactus Kiss > The Promised Land > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110486527/cactus-kiss,2.6,-1,"Sport, TR",5.8-,1,70,34.81519,-112.40776
"All My Hexes Live in Texas","The Draw Pile. > Crags Against Humanity > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/121645092/all-my-hexes-live-in-texas,2.3,-1,Sport,5.8-,1,71,32.32441,-110.70657
"Lie Back Down...","Your Mom's Basement > The Jenga Tower and Your Mom's Basement > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/108172642/lie-back-down,2.7,-1,Sport,5.8-,1,40,32.3805,-110.71212
"AT Steps Out","Tall Wall > Outcroppings > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106228704/at-steps-out,1.8,-1,Sport,5.8-,2,195,32.39974,-110.71559
"King Of Cowards","The Entrance Wall > Griffith Springs > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/120946956/king-of-cowards,2.5,-1,Sport,5.8-,1,45,35.11213,-111.70675
"Bionic Belly","1-Upper Wall > Palisade Park > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/122324585/bionic-belly,1.8,-1,Sport,5.8-,1,35,32.4122,-110.7179
"Small Town Boy","Bug Spring Wall > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106548895/small-town-boy,1.8,-1,"Trad, Sport",5.8-,1,60,32.34696,-110.70274
