Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Black Sheets of Rain","Big Black Face > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106642398/black-sheets-of-rain,3.2,-1,Sport,5.10a/b,1,100,44.29371,-103.8935
"Don't Stahl","Middle Marker Area > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105951178/dont-stahl,3.6,-1,Sport,5.10a/b,1,80,43.88242,-103.46227
"Fortune Cookie","The Duck Wall > The VC > Rapid City Area > South Dakota",https://www.mountainproject.com/route/106544738/fortune-cookie,2.9,-1,Sport,5.10a/b,1,50,44.04391,-103.33585
"Jupiter Fly By","Middle Marker Area > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106830968/jupiter-fly-by,2.4,-1,"Sport, TR",5.10a/b,1,65,43.88242,-103.46227
"Missing Arch","Chillbain > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105819755/missing-arch,2.8,-1,Sport,"5.10a/b PG13",1,75,43.8477,-103.5668
"Laughing Gas","Incisor > Picket Fence > Custer State Park > South Dakota",https://www.mountainproject.com/route/114039545/laughing-gas,3.0,-1,Sport,5.10a/b,1,,43.85044,-103.53114
"The Handie","The DMZ > The VC > Rapid City Area > South Dakota",https://www.mountainproject.com/route/110958400/the-handie,2.9,-1,Sport,5.10a/b,1,45,44.03842,-103.33278
"Big N' Tasty","Indecent Exposure > Blue Sky > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107088186/big-n-tasty,2.4,-1,Sport,5.10a/b,1,90,44.34528,-103.92064
"Same Name","Hardman's Hideout > Dells Of The Sioux River > East Side SD > South Dakota",https://www.mountainproject.com/route/123820682/same-name,3.5,-1,"Sport, TR",5.10a/b,1,40,43.8098,-96.71248
