Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Winds of Fire","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106003242/winds-of-fire,3.6,-1,Sport,5.10a,1,100,40.4507,-111.6717
"Call it a Knight","Ed and Terry Wall > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105931238/call-it-a-knight,3.4,-1,"Sport, TR",5.10a,1,110,40.2645,-111.6232
"Black Elk","Good Medicine Area > Ruth Lake > Uinta Mountains > Northeast Utah > Utah",https://www.mountainproject.com/route/105741140/black-elk,3.4,-1,Sport,5.10a,1,70,40.73091,-110.87835
"Men in Tights","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542533/men-in-tights,3.3,-1,Sport,5.10a,1,95,38.66006,-109.49974
"The Viewing","Coffin Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740639/the-viewing,3.3,-1,Sport,"5.10a R",1,100,40.57418,-111.77065
"Sticky Revelations","Prophesy Wall > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/105718492/sticky-revelations,3.1,-1,Sport,5.10a,3,210,37.2939,-113.6932
"Roar of the Greasepaint","Circus Wall > Island In The Sky > Snow Canyon State Park > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/105718219/roar-of-the-greasepaint,3.2,-1,Sport,5.10a,2,150,37.19743,-113.64353
"Nervous in Suburbia","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105717502/nervous-in-suburbia,3.1,-1,Sport,5.10a,1,50,38.54668,-109.59959
"Platinum Blonde","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105742064/platinum-blonde,3.0,-1,Sport,5.10a,1,100,40.4507,-111.6717
"Black Mouse Squeaks","Rodent Ranch > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106593862/black-mouse-squeaks,3.0,-1,Sport,5.10a,1,,41.80592,-111.63168
