Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pull the Plug","Comatose Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/105937338/pull-the-plug,3.0,-1,Sport,5.11a/b,1,120,35.4499,-82.21438
"The Timanator","The Wall of Solitude > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106064953/the-timanator,3.8,-1,"Trad, Sport",5.11a/b,1,75,35.449,-82.2143
"Inner Peace","Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106330285/inner-peace,3.2,-1,"Trad, Sport","5.11a/b PG13",1,80,35.44953,-82.21258
"Crystal Clear, aka  Titanium Test Pilot","The Wall of Solitude > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106064905/crystal-clear-aka-titanium-test-pilot,3.6,-1,"Trad, Sport",5.11a/b,1,100,35.449,-82.2143
"Teflon Toes","03. Foreign Trade Zone > Pilot Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108700284/teflon-toes,2.4,-1,Sport,5.11a/b,1,55,36.34066,-80.48581
"Somebody open my Dew","Lower Tier > Section 5 > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108541445/somebody-open-my-dew,2.8,-1,Sport,5.11a/b,1,60,35.96294,-81.11888
Sky-Net,"Sky-Net > Cooks Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/116770114/sky-net,3.2,-1,Sport,5.11a/b,1,65,36.40009,-80.2602
Argonaut,"12. Big Arete > Pilot Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/122136271/argonaut,2.7,-1,Sport,5.11a/b,1,80,36.33997,-80.48168
Tanqueray,"Little Wilson > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/107778444/tanqueray,2.8,-1,Sport,5.11a/b,1,60,36.0885,-81.79303
"Barn Dior","05. Nuts and Bolts > Pilot Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/123602324/barn-dior,2.6,-1,Sport,5.11a/b,1,50,36.34016,-80.48535
