Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Get Two Birds Stoned at Once","10. Neighborhood Ledge > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/117935902/get-two-birds-stoned-at-once,4.0,-1,Sport,5.13c,1,80,44.37078,-72.858
"Terror Wolf: the Howling Undead Warrior","Main Cliff > Lone Rock Point > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/117822365/terror-wolf-the-howling-undead-warrior,3.8,-1,Sport,5.13c,1,70,44.48834,-73.24901
"The B.I.B.L.E.","Main Cliff > Lone Rock Point > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116097617/the-bible,3.7,-1,Sport,5.13c,1,70,44.48834,-73.24901
"Giant Sloth","Main Cliff > Lone Rock Point > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116097694/giant-sloth,2.7,-1,Sport,5.13c,1,70,44.48834,-73.24901
"Muddy Sloth","Main Cliff > Lone Rock Point > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/117713138/muddy-sloth,2.5,-1,Sport,5.13c,1,60,44.48834,-73.24901
