Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Paradigm Shift","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826220/paradigm-shift,3.8,-1,Sport,5.13a,1,75,44.56899,-92.52106
Nexus,"Sigma Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/106069636/nexus,3.8,-1,Sport,5.13a,1,70,46.13653,-92.86031
"Lakota Son Rise","Secret Lake > Onishishin > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/108278750/lakota-son-rise,4.0,-1,"Sport, Alpine",5.13a,1,75,48.3745,-92.41488
"Action Satisfaction","Jeff's World (Proper) > Onishishin > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/111873874/action-satisfaction,4.0,-1,"Sport, Alpine",5.13a,1,75,48.3949,-92.4012
"Quiet Desperation","Annadonia Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105831488/quiet-desperation,3.3,-1,"Sport, TR",5.13a,1,,44.56927,-92.52108
"Blinded By Psych","Swamp Wall > Onishishin > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/117067773/blinded-by-psych,3.0,-1,"Sport, Alpine",5.13a,1,65,48.39034,-92.40808
"Gravity Heroes","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/110170215/gravity-heroes,2.8,-1,Sport,5.13a,1,60,44.56899,-92.52106
"Last Dance with the Fat Man","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825369/last-dance-with-the-fat-man,2.7,-1,Sport,5.13a,1,,44.56899,-92.52106
"Cooler Than Paradigm","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826646/cooler-than-paradigm,2.0,-1,Sport,5.13a,1,,44.56899,-92.52106
