Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pigs in Zen (Tuesday's Gone)","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105930746/pigs-in-zen-tuesdays-gone,3.1,-1,Sport,5.10d,1,70,34.17961,-85.8179
Disneyland,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/106617924/disneyland,2.9,-1,Sport,5.10d,1,80,34.18041,-85.81555
Booger,"The Concave > Little River Canyon > Alabama",https://www.mountainproject.com/route/112778870/booger,2.8,-1,Sport,5.10d,1,40,34.37859,-85.63084
"Read Between The Lines","Cherokee Bluffs > Alabama",https://www.mountainproject.com/route/113992368/read-between-the-lines,3.3,-1,Sport,"5.10d PG13",1,25,32.67095,-85.90765
Cargoblasting,"Right Side Cliff > Yellow Bluff > Alabama",https://www.mountainproject.com/route/108787259/cargoblasting,2.3,-1,Sport,5.10d,1,65,34.4353,-86.6746
B10,"LaGrange > Alabama",https://www.mountainproject.com/route/106939606/b10,3.0,-1,Sport,"5.10d PG13",1,55,34.65,-87.56
"Green Eggs and Ham","Right Side Cliff > Yellow Bluff > Alabama",https://www.mountainproject.com/route/108787275/green-eggs-and-ham,2.3,-1,Sport,5.10d,1,,34.4353,-86.6746
"Snuff the Rooster","The Islands > Sand Rock > Alabama",https://www.mountainproject.com/route/108084483/snuff-the-rooster,2.0,-1,Sport,"5.10d PG13",1,90,34.1792,-85.81933
"Prom Queen","Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/120122015/prom-queen,1.0,-1,Sport,5.10d,1,50,34.18041,-85.81555
"Mumbo Jumbo","Crazy House > Little River Canyon > Alabama",https://www.mountainproject.com/route/124253447/mumbo-jumbo,2.0,-1,Sport,5.10d,1,,34.36424,-85.65413
"Finger Paint","Offroad Crag > Southwest Bucks > Buck’s Pocket > Alabama",https://www.mountainproject.com/route/125526376/finger-paint,3.0,-1,Sport,5.10d,1,50,34.47136,-86.05187
"Slab Ripper X","Brandnewbia > Little River Canyon > Alabama",https://www.mountainproject.com/route/125533648/slab-ripper-x,2.0,-1,Sport,5.10d,1,,34.3577,-85.67626
"Fly High","Freebird Buttress > Northeast Section > Buck’s Pocket > Alabama",https://www.mountainproject.com/route/125730014/fly-high,3.0,-1,Sport,5.10d,1,50,34.47888,-86.04191
