Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Work Ethic","Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105820225/work-ethic,3.4,-1,Sport,5.12a,1,,44.56905,-92.52198
Cyclops,"Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105820233/cyclops,2.8,-1,Sport,5.12a,1,,44.56905,-92.52198
Demystification,"Perfect Crimb Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105860479/demystification,3.2,-1,Sport,5.12a,1,,44.5696,-92.52273
"Start of Something Good","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825170/start-of-something-good,3.0,-1,Sport,5.12a,1,,44.56899,-92.52106
"Kelly's Arete","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825378/kellys-arete,2.8,-1,Sport,5.12a,1,30,44.56899,-92.52106
Gorilla,"Jeff's World (Proper) > Onishishin > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/108278825/gorilla,4.0,-1,"Sport, Alpine",5.12a,1,75,48.3949,-92.4012
"Do The Right Thing","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826216/do-the-right-thing,2.5,-1,Sport,5.12a,1,,44.56899,-92.52106
"L. Rufus","Canidae Cliff  (Hammond) > Minnesota",https://www.mountainproject.com/route/106034658/l-rufus,3.5,-1,Sport,5.12a,1,45,44.222,-92.372
"The Girl with the Dragon Tattoo","Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/116186710/the-girl-with-the-dragon-tattoo,2.7,-1,Sport,5.12a,1,65,44.56905,-92.52198
"Dreamt I Was a Dragonfly","Swamp Wall > Onishishin > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/111873160/dreamt-i-was-a-dragonfly,3.0,-1,"Sport, Alpine",5.12a,1,50,48.39034,-92.40808
"Black Beta","Jeff's World (Proper) > Onishishin > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/106044828/black-beta,3.0,-1,"Sport, Alpine",5.12a,1,35,48.3949,-92.4012
"Black Ice","Quarry Park (St. Cloud) > Minnesota",https://www.mountainproject.com/route/106179881/black-ice,2.5,-1,"Sport, TR",5.12a,1,25,45.5355,-94.2416
