Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Lounge Lizard","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099182/lounge-lizard,3.4,-1,Sport,5.11b,1,80,36.1022,-84.7184
"The Acquittal","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105978799/the-acquittal,3.4,-1,Sport,5.11b,1,60,35.17953,-85.67775
Deathblow,"Image Wall > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107555766/deathblow,3.2,-1,Sport,5.11b,1,45,36.09386,-84.70206
"Story of My Life","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/111431617/story-of-my-life,3.5,-1,Sport,5.11b,1,80,35.17715,-85.68247
"Copperhead Road","Big Tex Cave > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/113731316/copperhead-road,3.7,-1,Sport,5.11b,1,65,35.15508,-85.68941
Prophet,"Image Wall > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106696887/prophet,2.7,-1,Sport,5.11b,1,65,36.09386,-84.70206
"One Legged Red","Corner Pocket > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/114545517/one-legged-red,3.9,-1,Sport,5.11b,1,,35.15061,-85.68552
Carnivore,"Y- 12 > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107118185/carnivore,3.2,-1,Sport,5.11b,1,,36.09452,-84.71022
Swindled,"The Point Butress(Main Wall) > Castle Rock > Tennessee",https://www.mountainproject.com/route/108626345/swindled,3.7,-1,Sport,5.11b,1,90,35.10392,-85.63142
"So What","So What Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/106202075/so-what,2.7,-1,Sport,5.11b,1,50,35.17917,-85.67854
"Lights of the Dead","The Wave Wall > Deep Creek > Tennessee",https://www.mountainproject.com/route/110529013/lights-of-the-dead,3.7,-1,Sport,5.11b,1,70,35.29344,-85.19789
"Poison Ivy","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107160557/poison-ivy,2.7,-1,Sport,5.11b,1,60,36.1022,-84.7184
"Lifestyles of the Ripped and Heinous","Tieranny Roofs > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/108162693/lifestyles-of-the-ripped-and-heinous,3.0,-1,Sport,5.11b,1,,36.09055,-84.70502
"The Immortal KB","Y- 12 > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106700469/the-immortal-kb,3.0,-1,Sport,5.11b,1,90,36.09452,-84.71022
"In Exchange for Silence","Warm-Up Wall > Deep Creek > Tennessee",https://www.mountainproject.com/route/109719260/in-exchange-for-silence,3.6,-1,Sport,5.11b,1,60,35.29424,-85.19682
"Java Man","Y- 12 > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/113548272/java-man,2.9,-1,Sport,5.11b,1,80,36.09452,-84.71022
Buffoonery,"Monterey Crag > Tennessee",https://www.mountainproject.com/route/121221846/buffoonery,4.0,-1,Sport,5.11b,1,30,36.11465,-85.17845
"Half Baked","The Dispensary > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/122114888/half-baked,3.5,-1,Sport,5.11b,1,,35.3321,-85.45535
Streaker,"The Point Butress(Main Wall) > Castle Rock > Tennessee",https://www.mountainproject.com/route/108614143/streaker,3.1,-1,Sport,5.11b,1,70,35.10392,-85.63142
X-Files,"Area X > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/116766890/x-files,3.9,-1,Sport,5.11b,1,90,36.08682,-84.71734
"Leap of Faith","The Woodshed > Deep Creek > Tennessee",https://www.mountainproject.com/route/121098174/leap-of-faith,3.5,-1,Sport,5.11b,1,,35.29794,-85.19518
"Chemtrail Surfer","Conspiracy Buttress > Big Soddy Gorge > Tennessee",https://www.mountainproject.com/route/112519130/chemtrail-surfer,3.6,-1,Sport,5.11b,1,70,35.30096,-85.19864
Shazam,"Y- 12 > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106700450/shazam,2.6,-1,Sport,5.11b,1,50,36.09452,-84.71022
"Crash Into Me","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/108469447/crash-into-me,3.5,-1,Sport,5.11b,1,70,35.17774,-85.68843
"Sail Rabbits","Bee Rock > Tennessee",https://www.mountainproject.com/route/121713909/sail-rabbits,3.3,-1,Sport,5.11b,1,60,36.12879,-85.28619
Dyslexia,"Blue Crystal Buttress > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/116565807/dyslexia,3.4,-1,Sport,5.11b,1,60,36.0947,-84.7083
"Apocalyptic Visions","Four Horsemen > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/113938835/apocalyptic-visions,3.3,-1,Sport,5.11b,1,65,35.15062,-85.68549
"Water Tower","Lake Nickajack Deep Water Soloing > Tennessee",https://www.mountainproject.com/route/121006063/water-tower,3.3,-1,Sport,5.11b,1,30,35.0115,-85.58382
Pulse,"Orange Wall > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/113731176/pulse,2.8,-1,Sport,5.11b,1,60,35.15504,-85.68776
"Scruffy City Blues","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291967/scruffy-city-blues,2.8,-1,Sport,5.11b,1,50,35.94466,-83.87729
Uni-boob,"The River Wall > Little Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107672044/uni-boob,2.6,-1,Sport,5.11b,1,60,36.108,-84.7162
Ermahgerd,"Little Hemlock > Hemlock Block > Deep Creek > Tennessee",https://www.mountainproject.com/route/108543883/ermahgerd,2.9,-1,Sport,5.11b,1,60,35.2966,-85.19173
"Tony's Crack AKA Stop-N-Shop","The Inner Circle > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106701436/tonys-crack-aka-stop-n-shop,2.5,-1,Sport,5.11b,1,65,36.09955,-84.7103
Pestilence,"Four Horsemen > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/113938826/pestilence,3.0,-1,Sport,5.11b,1,65,35.15062,-85.68549
Berlin,"Art Studio > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/115352467/berlin,2.9,-1,Sport,5.11b,1,75,35.15313,-85.6742
"Look Ma, No Head!","North Face > Devil's Race Track > Tennessee",https://www.mountainproject.com/route/106756937/look-ma-no-head,3.0,-1,Sport,5.11b,1,50,36.32871,-84.2243
"The Drippler","Big Tex Cave > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/113731432/the-drippler,2.5,-1,Sport,5.11b,1,,35.15508,-85.68941
"Crack Offender","The Woodshed > Deep Creek > Tennessee",https://www.mountainproject.com/route/122383108/crack-offender,2.7,-1,Sport,5.11b,1,60,35.29794,-85.19518
"Up That Thang","High Water Wall > King's Bluff > Tennessee",https://www.mountainproject.com/route/108961406/up-that-thang,3.0,-1,Sport,5.11b,1,35,36.50109,-87.31951
"The Bounty","Good Samaritan Buttress > Big Soddy Gorge > Tennessee",https://www.mountainproject.com/route/120277662/the-bounty,3.0,-1,Sport,5.11b,1,80,35.30033,-85.19775
"The Mirror of Llunett","Downstream Area > Blue Heron > Big South Fork > Tennessee",https://www.mountainproject.com/route/106075406/the-mirror-of-llunett,3.5,-1,Sport,5.11b,1,80,36.6706,-84.54431
"Low Country","West Cliff > Dogwood > Tennessee",https://www.mountainproject.com/route/121938935/low-country,2.9,-1,Sport,5.11b,1,45,35.49623,-85.08593
Never-Clear,"The Distillery (AKA Still House Left) > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/123229955/never-clear,2.7,-1,Sport,5.11b,1,50,35.33191,-85.45106
"Flight of the Ego","Solstice Cave > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/108226816/flight-of-the-ego,2.2,-1,Sport,5.11b,1,50,36.09373,-84.70165
"Bottom Feeder","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105893863/bottom-feeder,2.2,-1,Sport,5.11b,1,,35.17953,-85.67775
"The Doyle Parsons Project","The Orchard > King's Bluff > Tennessee",https://www.mountainproject.com/route/110742250/the-doyle-parsons-project,2.6,-1,Sport,5.11b,1,,36.50128,-87.32035
Velveeta,"Squeeze Ledge > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/111387539/velveeta,2.5,-1,Sport,5.11b,1,50,36.09595,-84.70764
"Mustang Sally","Lonesome Wall > King's Bluff > Tennessee",https://www.mountainproject.com/route/106656475/mustang-sally,2.3,-1,Sport,5.11b,1,40,36.5012,-87.32333
"Hands of Stone","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/108141216/hands-of-stone,2.6,-1,Sport,5.11b,1,60,35.06887,-85.4194
"Yellow King","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291899/yellow-king,2.2,-1,Sport,5.11b,1,40,35.94466,-83.87729
"Piggly Wiggly","Pig Wall > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/113938589/piggly-wiggly,2.3,-1,Sport,5.11b,1,50,35.15062,-85.68549
