Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Release the Hens","06. Main Wall > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116540877/release-the-hens,3.9,-1,Sport,5.11c,1,95,44.37063,-72.85791
Quickbeam,"ENT Gully > Smugglers' Notch > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/117728520/quickbeam,3.8,-1,Sport,5.11c,1,80,44.55772,-72.79327
Normandy,"E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/113653182/normandy,3.5,-1,Sport,5.11c,1,50,44.42037,-72.90162
"Raising Money for Polar Bear Erections","B. Middle Cliff Routes > The Main Cliff > Bone Mountain > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/118003438/raising-money-for-polar-bear-erections,3.0,-1,Sport,5.11c,1,65,44.38995,-72.84965
Bungasana,"C - Upper Tier - Right End > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/113412677/bungasana,2.3,-1,Sport,5.11c,1,60,44.42839,-72.89961
"Blood Diamond","06. Main Wall > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116540888/blood-diamond,1.8,-1,Sport,5.11c,1,50,44.37063,-72.85791
Molotov,"Revolution Wall > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/119827983/molotov,2.0,-1,Sport,5.11c,1,70,44.38487,-72.85311
"Half a rock climb","ENT Gully > Smugglers' Notch > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/119642284/half-a-rock-climb,2.0,-1,Sport,5.11c,1,40,44.55772,-72.79327
