Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pie for Strength","Lower Tier > Mill Creek North Rim > Mill Creek > Northwest Region > Montana",https://www.mountainproject.com/route/107951301/pie-for-strength,3.1,-1,"Sport, Alpine",5.11a/b,4,300,46.3102,-114.2394
"Caveman Days","Porcelain Wall > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/114201222/caveman-days,3.1,-1,Sport,5.11a/b,1,90,45.54941,-110.2046
Deceptor,"Tor Rock > Lolo Area > Northwest Region > Montana",https://www.mountainproject.com/route/110357150/deceptor,3.0,-1,"Sport, TR",5.11a/b,1,40,46.7248,-114.57933
Schism,"Boundary Line Fin > Lower Bear Canyon > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/109823009/schism,2.5,-1,Sport,5.11a/b,1,30,45.60835,-110.9187
"Absaroka Shortbus","Peanuts Wall > Mill Creek > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/117240734/absaroka-shortbus,3.0,-1,Sport,5.11a/b,1,40,45.26999,-110.49373
"The Twitch","Adam's Rib > Chestnut Mountain Crag > Southwest Region > Montana",https://www.mountainproject.com/route/117550649/the-twitch,2.8,-1,Sport,5.11a/b,1,60,45.59755,-110.87909
"Nice Guys","Belly Dancer Wall > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/122985099/nice-guys,2.3,-1,Sport,5.11a/b,1,50,45.64314,-110.90742
"Ascent to the Bottom of the Sea","Sistine Chapel > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/109291062/ascent-to-the-bottom-of-the-sea,2.2,-1,Sport,5.11a/b,1,45,45.6418,-110.9058
Stickpin,"Stickpin Area > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/110746981/stickpin,2.0,-1,Sport,5.11a/b,1,50,45.6428,-110.9073
Perculator,"Tor Rock > Lolo Area > Northwest Region > Montana",https://www.mountainproject.com/route/110357177/perculator,2.0,-1,"Sport, TR",5.11a/b,1,60,46.7248,-114.57933
"Animal Clinic","Tor Rock > Lolo Area > Northwest Region > Montana",https://www.mountainproject.com/route/110357164/animal-clinic,2.0,-1,"Sport, TR",5.11a/b,1,40,46.7248,-114.57933
"Carl Brutananadilewski","South Jersey Shore > Big Bear Canyon (the BBC) > Southwest Region > Montana",https://www.mountainproject.com/route/113576031/carl-brutananadilewski,1.0,-1,Sport,5.11a/b,1,30,45.50208,-111.09383
Skunked,"Confluence Crag > Red Lodge > South Central Region > Montana",https://www.mountainproject.com/route/124901261/skunked,3.8,-1,"Sport, TR",5.11a/b,1,100,45.07763,-109.38932
