Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Darkside Dihedral","Darkside Dihedral Area > East Grapefruit Rocks > Grapefruit Rocks > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/114974170/darkside-dihedral,4.0,-1,"Sport, TR, Mixed","5.11a M6+",1,75,65.29647,-148.13926
"Quartzsite's Strike","Lookout Rock!! > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/112099641/quartzsites-strike,3.8,-1,"Sport, Alpine",5.11a,1,60,61.14031,-146.22083
"Creation Science","Morning Star Gully > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108950435/creation-science,3.4,-1,Sport,5.11a,2,,61.00682,-149.68568
"First Amendment","Left Cave > Weiner Lake Routes > Wookie Wall/Weiner Lake > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109038468/first-amendment,2.8,-1,Sport,5.11a,1,65,61.8128,-148.1665
"The Thin Grey Line","Falcon Rock > East Grapefruit Rocks > Grapefruit Rocks > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/114573753/the-thin-grey-line,3.4,-1,"Sport, TR",5.11a,1,65,65.29304,-148.15959
"Canadian Heat Wave","Panorama Point > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/111778855/canadian-heat-wave,3.3,-1,"Sport, Alpine",5.11a,1,55,61.14021,-146.22031
"More playin, less sprayin","3rd Generation Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108244631/more-playin-less-sprayin,3.3,-1,Sport,5.11a,1,25,61.81663,-149.23829
"What's Up Dino?","Dino Head > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108190495/whats-up-dino,2.7,-1,Sport,5.11a,1,50,60.9834,-149.58971
"The Black Gate","Eyes of the World > Tee Harbor > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/117658384/the-black-gate,3.0,-1,"Sport, TR",5.11a,1,90,58.4124,-134.7525
"Have You Seen Lucky","Morning Star Gully > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108950326/have-you-seen-lucky,3.0,-1,Sport,5.11a,1,,61.00682,-149.68568
"Give Thanks","Morning Star Gully > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108950329/give-thanks,3.0,-1,Sport,5.11a,1,,61.00682,-149.68568
Shirtcocking,"Incinerator Crag > Skagway > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/118355957/shirtcocking,3.0,-1,Sport,5.11a,1,70,59.53667,-135.32837
"Lost & Found","Glacier View > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/119285073/lost-found,3.0,-1,"Sport, Alpine",5.11a,1,70,61.17081,-145.72983
"The Lost Era","Airport Heights > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108605347/the-lost-era,3.0,-1,"Sport, Alpine",5.11a,1,65,61.13965,-146.22021
"5 Star Everything","Republic of Boulder > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108607330/5-star-everything,3.0,-1,"Sport, Alpine",5.11a,1,80,61.17251,-145.7244
"Ledgeway to Sleven","Panorama Point > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/111218790/ledgeway-to-sleven,2.8,-1,"Sport, Alpine",5.11a,1,50,61.14021,-146.22031
"Riot In Ephesis","Bermuda Triangle > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108950059/riot-in-ephesis,2.6,-1,Sport,5.11a,1,,61.0091,-149.69611
"Unknown 1","Left Wall > Purinton Creek > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109218667/unknown-1,2.5,-1,Sport,5.11a,1,60,61.8129,-148.1423
Unknown,"The Tunnel Wall > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108605083/unknown,2.5,-1,"Sport, Alpine",5.11a,1,30,61.08487,-145.89324
"Code Red Left","Mosquito Ledge > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108970879/code-red-left,2.5,-1,Sport,"5.11a R",1,103,60.88129,-149.03948
Peril,"First Crag > West Grapefruit Rocks > Grapefruit Rocks > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/105985215/peril,2.1,-1,"Sport, TR",5.11a,1,45,65.28717,-148.19013
"Garvey Who","Arrowhead Wall > Dew Mound > Eagle River > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109169992/garvey-who,2.2,-1,Sport,5.11a,1,,61.20459,-149.25232
"Pull The Wool","Bermuda Triangle > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108950204/pull-the-wool,2.2,-1,"Trad, Sport",5.11a,1,,61.0091,-149.69611
"Radio Active Decay","Lower Tee Harbor Cliff (AKA ""Sci-Fi Wall"") > Tee Harbor > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/119791356/radio-active-decay,1.7,-1,Sport,5.11a,1,60,58.41233,-134.75635
"Slip and Slide","Byron Glacier Wall > Portage > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108975986/slip-and-slide,2.0,-1,Sport,5.11a,1,,60.75848,-148.84843
"She Broke It","First Crag > West Grapefruit Rocks > Grapefruit Rocks > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/106183729/she-broke-it,1.4,-1,"Sport, TR",5.11a,1,40,65.28717,-148.19013
"Dynamo Hum","Byron Glacier Wall > Portage > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109126081/dynamo-hum,1.5,-1,Sport,5.11a,1,95,60.75848,-148.84843
