Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Garbajistan,"Bear Rock > Central Valley > Connecticut",https://www.mountainproject.com/route/112179186/garbajistan,2.8,-1,Sport,5.11b,1,,41.47119,-72.64888
Traxamillion,"Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/109687523/traxamillion,2.7,-1,Sport,5.11b,1,60,41.33236,-72.95851
"Bear in Mīnd","Bear Rock > Central Valley > Connecticut",https://www.mountainproject.com/route/121297488/bear-in-mind,1.9,-1,Sport,5.11b,1,35,41.47119,-72.64888
Tanqueray,"The Grey Matter Area > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/109131803/tanqueray,2.0,-1,Sport,5.11b,1,45,41.35342,-72.59526
