Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Jawsome,"Jaw Man Zone > South Gully > Jaw Point > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/119721290/jawsome,4.0,-1,Sport,5.11,1,100,58.26294,-134.05804
Butterfly,"Peanut gullery > Woznesensky Glacier > Kenai Peninsula Rock and Ice > Alaska",https://www.mountainproject.com/route/108259982/butterfly,4.0,-1,"Sport, Alpine","5.11 PG13",1,60,59.50553,-151.02905
"Icky Thump","Byron Glacier Wall > Portage > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109126269/icky-thump,3.4,-1,Sport,5.11,1,55,60.75848,-148.84843
"Calling Out","Resolution Bluff > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108707154/calling-out,3.3,-1,Sport,5.11,1,75,61.01484,-149.71649
Roof-oh-lution,"Resolution Bluff > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108787103/roof-oh-lution,3.0,-1,Sport,5.11,1,80,61.01484,-149.71649
"The Nursery","3rd Fin > North Fins > Jaw Point > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/122694548/the-nursery,3.0,-1,Sport,5.11,1,70,58.26742,-134.06411
Poseidon,"Hard Sea Cliffs > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/123039807/poseidon,3.0,-1,Sport,5.11,1,80,58.58095,-134.89636
Vaportrail,"Upper Center Wall > Purinton Creek > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109210750/vaportrail,3.0,-1,Sport,5.11,1,,61.81266,-148.14126
"Jah Works","Upper Wall > 43 mile crag > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/118936010/jah-works,2.5,-1,"Sport, Alpine",5.11,1,55,61.24252,-145.34501
"Stoner Boyz","Kiliak Wall > Eagle River > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108340185/stoner-boyz,1.8,-1,Sport,5.11,1,65,61.21059,-149.24977
"Dreams for Broken Boyz","Sunshine Ridge > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/122730309/dreams-for-broken-boyz,2.0,-1,Sport,5.11,1,,61.00626,-149.68649
"Buddha Belly","Left Cave > Weiner Lake Routes > Wookie Wall/Weiner Lake > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109369781/buddha-belly,1.7,-1,Sport,5.11,1,60,61.8128,-148.1665
"Larrys Project","Falcon Rock > East Grapefruit Rocks > Grapefruit Rocks > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/124610997/larrys-project,3.0,-1,"Sport, TR",5.11,1,,65.29304,-148.15959
