Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Entrepreneur,"The Sunny Side > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108609583/entrepreneur,3.0,-1,"Sport, Alpine",5.8+,1,80,61.17201,-145.72496
"Overarching Anchors","Valdez Glacier Campground > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/117703703/overarching-anchors,3.0,-1,"Sport, Alpine",5.8+,1,55,61.13908,-146.20546
"Spring Fling","Spring Fling > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108953255/spring-fling,2.5,-1,Sport,5.8+,1,50,61.00589,-149.68199
"Wet Finish","Valdez Glacier Campground > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108621138/wet-finish,2.3,-1,"Sport, Alpine",5.8+,1,65,61.13908,-146.20546
"Not known","Sea Cliff Roadcut > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/114170281/not-known,2.5,-1,Sport,5.8+,1,60,58.58297,-134.89635
"3rd bolted route","The Sea Cliffs > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/112157107/3rd-bolted-route,2.8,-1,Sport,5.8+,1,,58.58494,-134.90001
Whiskey,"Red Gate > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/107137880/whiskey,1.9,-1,Sport,5.8+,1,100,61.0583,-149.7979
"South Park","The Sunny Side > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108609592/south-park,2.3,-1,"Sport, Alpine",5.8+,1,80,61.17201,-145.72496
"The Unforgiven","Sunshine Ridge > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110341796/the-unforgiven,2.0,-1,Sport,5.8+,2,200,61.00626,-149.68649
"unkown name","Sea Cliff Roadcut > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/114171242/unkown-name,2.0,-1,Sport,"5.8+ PG13",1,50,58.58297,-134.89635
919,"The Sunny Side > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108607530/919,2.0,-1,"Sport, Alpine",5.8+,1,80,61.17201,-145.72496
"Sweet and Sour","Valdez Glacier Campground > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/116699504/sweet-and-sour,2.0,-1,"Sport, Alpine",5.8+,1,50,61.13908,-146.20546
"Lost Dino","Dino Head > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109007633/lost-dino,1.7,-1,Sport,5.8+,1,50,60.9834,-149.58971
Whajacallit,"Sunshine Ridge > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108950316/whajacallit,1.7,-1,"Trad, Sport","5.8+ R",1,,61.00626,-149.68649
"Welcome to the Jungle","Kiliak Wall > Eagle River > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110778875/welcome-to-the-jungle,1.0,-1,Sport,5.8+,1,,61.21059,-149.24977
