Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Gulag Archipelago","(u) Red Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106513445/gulag-archipelago,3.6,-1,Sport,5.11+,4,380,44.3696,-121.13916
Necromancer,"(9) Jungle Cliff > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/111265361/necromancer,3.6,-1,Sport,5.11+,1,100,45.53735,-122.37207
"Tammy Jo Memorial","Steins Pillar > Steins Pillar > Central Oregon > Oregon",https://www.mountainproject.com/route/110381379/tammy-jo-memorial,3.8,-1,Sport,"5.11+ PG13",3,350,44.41174,-120.61998
"Spider Line","l. Wall of Shadows > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/122729874/spider-line,3.5,-1,"Sport, TR",5.11+,1,120,45.55268,-122.56865
"Woman in the Mist","(3)Long Wall > Rattlesnake > Southwest Oregon > Oregon",https://www.mountainproject.com/route/106557926/woman-in-the-mist,3.2,-1,Sport,5.11+,1,70,42.65122,-122.88589
"Serology Test","Power Lines > Central Oregon > Oregon",https://www.mountainproject.com/route/118865770/serology-test,3.3,-1,"Sport, TR",5.11+,1,45,44.04393,-121.46742
"Hazy Shade of Summer","(3) Hand Job Wall > East Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/114982250/hazy-shade-of-summer,3.0,-1,Sport,5.11+,1,80,44.36774,-121.12995
"Iron Lung","The Einstein > Leslie Gulch > Southeast Oregon > Oregon",https://www.mountainproject.com/route/112101416/iron-lung,2.7,-1,Sport,5.11+,1,,43.33778,-117.31209
Glaxo,"East > Cline Falls Routes > Cline Falls > Central Oregon > Oregon",https://www.mountainproject.com/route/122784847/glaxo,3.0,-1,Sport,5.11+,1,40,44.27748,-121.25681
"Summer's Tale","(5) Shakespeare Cliff > East Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/114776265/summers-tale,2.5,-1,Sport,5.11+,1,70,44.36684,-121.12991
"Fire Down Below","Spring Mountain > Northeast Oregon > Oregon",https://www.mountainproject.com/route/107722369/fire-down-below,2.5,-1,Sport,5.11+,1,,45.45812,-118.23642
"Waterfall Face","East > Cline Falls Routes > Cline Falls > Central Oregon > Oregon",https://www.mountainproject.com/route/114380267/waterfall-face,2.0,-1,"Sport, TR",5.11+,1,30,44.27748,-121.25681
Backbender,"Madrone Coves > Lookout Point > Willamette Valley > Oregon",https://www.mountainproject.com/route/121970720/backbender,2.0,-1,Sport,5.11+,1,40,43.89267,-122.67924
"Sling Blade","(5)Jane's Buttress > Rattlesnake > Southwest Oregon > Oregon",https://www.mountainproject.com/route/120822087/sling-blade,2.0,-1,Sport,5.11+,1,25,42.65038,-122.88625
"name unknown","Riverside Crag > Burnt River Canyon > Northeast Oregon > Oregon",https://www.mountainproject.com/route/122454298/name-unknown,2.0,-1,Sport,5.11+,1,,44.54588,-117.69047
"Sugar Daddy","Cornerstone Buttress > (7) The Monument > (v) Monument Area > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/117535805/sugar-daddy,1.4,-1,Sport,5.11+,1,80,44.37625,-121.13542
"Shasta's Spirit","Steins Pillar > Steins Pillar > Central Oregon > Oregon",https://www.mountainproject.com/route/117035027/shastas-spirit,1.5,-1,Sport,5.11+,1,70,44.41174,-120.61998
"Master Hwang","(8)Dominator Wall > Rattlesnake > Southwest Oregon > Oregon",https://www.mountainproject.com/route/123141526/master-hwang,1.0,-1,Sport,5.11+,1,45,42.6497,-122.88655
"Who Who???","Easy Listening > The Dance Hall > Mt. Hood National Forest > Oregon",https://www.mountainproject.com/route/125472713/who-who,3.0,-1,Sport,5.11+,1,45,45.44298,-121.58407
"B.A.G. It","Main Area > Cougar Buttress > Central Oregon > Oregon",https://www.mountainproject.com/route/125510514/bag-it,3.0,-1,Sport,5.11+,1,115,44.03596,-121.54824
