Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Big One","Buttcrack Wall and Overhang > Railroad Area > Rocky Point > Rhode Island",https://www.mountainproject.com/route/111341180/the-big-one,3.5,-1,Boulder,V7-8,1,,41.68905,-71.36931
"Kal-el Extension","Fortress of Solitude > The Fortress Area > Connors Farm > Rhode Island",https://www.mountainproject.com/route/111193008/kal-el-extension,2.7,-1,Boulder,V7-8,1,17,41.90284,-71.56714
"Four O'Clock Fungus","Yosemite Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/111655853/four-oclock-fungus,2.5,-1,Boulder,V7-8,1,15,41.90152,-71.4372
"Silent Rage","Heart Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/111598825/silent-rage,2.6,-1,Boulder,V7-8,1,15,41.8986,-71.4351
"Leap Frog Eliminate","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/113939762/leap-frog-eliminate,2.0,-1,Boulder,V7-8,1,14,41.9053,-71.4356
"Crimp tester","The New Beach > Beach Pond > Rhode Island",https://www.mountainproject.com/route/120643504/crimp-tester,2.0,-1,Boulder,V7-8,1,,41.57274,-71.78028
"Sea Glass Sit","Overhang > Bass Rock > Narragansett > Rhode Island",https://www.mountainproject.com/route/114474365/sea-glass-sit,2.0,-1,Boulder,V7-8,1,14,41.40504,-71.45647
"Life in Color","Sean Timothy Gilman Boulder > Blue Pond Boulders > Rockville > Rhode Island",https://www.mountainproject.com/route/111819191/life-in-color,1.0,-1,Boulder,V7-8,1,,41.49996,-71.7498
Project,"Yellow Boulder > Connors Farm > Rhode Island",https://www.mountainproject.com/route/111264073/project,1.0,-1,Boulder,V7-8,1,10,41.91079,-71.56329
