Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Lock N' Load","Lock N' Load > Right Bishop > Bishop Mountain > Alabama",https://www.mountainproject.com/route/121945252/lock-n-load,4.0,-1,Boulder,V7-8,1,8,34.44061,-86.38686
"Nolan's Arête","Found Boulder > Middle Bishop > Bishop Mountain > Alabama",https://www.mountainproject.com/route/120427653/nolans-arete,3.8,-1,Boulder,V7-8,1,,34.45632,-86.37738
"Self Inflicted","Washout Boulders / Forgotten Boulder > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106301109/self-inflicted,3.0,-1,Boulder,V7-8,1,,33.92051,-86.30947
Terminator,"Big Boss Man Wall > Smith Mountain > Alabama",https://www.mountainproject.com/route/109964573/terminator,3.0,-1,Boulder,"V7-8 R",1,25,32.80925,-85.83824
Pookie,"Mortal Combat Area/ Mortal Combat boulders > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107371613/pookie,3.0,-1,Boulder,V7-8,1,8,33.9294,-86.249
"Slam Dunk","Big Poppa Boulder > The Citadel > Alabama",https://www.mountainproject.com/route/125459644/slam-dunk,3.0,-1,Boulder,V7-8,1,12,34.47443,-85.67304
