Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Noel,"Noel > North Mountain > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/121720188/noel,4.0,-1,Boulder,V8,1,,40.50466,-75.23127
Kundalini,"Highball > Highball Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/116583918/kundalini,4.0,-1,Boulder,"V8 PG13",1,21,40.24131,-76.45136
"Exhibit A","The 45 Degree Boulder > 45 Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107027122/exhibit-a,3.7,-1,Boulder,V8,1,10,40.23811,-76.45666
Jolie,"Upper Matrix > The Matrix Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/118091760/jolie,4.0,-1,Boulder,"V8 PG13",1,19,40.24466,-76.45092
"The Squeak","Highball > Highball Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/114288461/the-squeak,3.9,-1,Boulder,V8,1,12,40.24131,-76.45136
"Leafy Sit","Main Area > Emmaus Boulders > Northeast Ridges and Valleys > Pennsylvania",https://www.mountainproject.com/route/118977254/leafy-sit,4.0,-1,Boulder,V8,1,15,40.54789,-75.47605
"Astral Travelin'","Proving Grounds > Ohiopyle State Park > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/121833108/astral-travelin,4.0,-1,"TR, Boulder","V8 R",1,25,39.82601,-79.42373
"43. Baby Grand","South Side > Falls City Boulders a.k.a. ""The Pyle"" > Ohiopyle State Park > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/109974714/43-baby-grand,4.0,-1,Boulder,V8,1,15,39.86515,-79.47967
"Medal of Honor","Sharp Shooter > Coll's Cove Bouldering  - CLOSED TO CLIMBING > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/107680636/medal-of-honor,4.0,-1,Boulder,V8,1,12,39.9361,-79.5465
"I Fantasmi Camminano","Mocanaqua Boulder > Mocanaqua (aka Shickshinny) > Northeast Ridges and Valleys > Pennsylvania",https://www.mountainproject.com/route/117058079/i-fantasmi-camminano,4.0,-1,Boulder,V8,1,,41.14368,-76.13676
