Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Cruisers,"D: Stand Up Boulder and Jump for Jesus Area > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/112790640/cruisers,3.0,-1,Boulder,V4-5,1,15,37.61837,-89.41148
"Broken Direct","Warm-Up Wall > The Graveyard > Other Shawnee Bouldering > Illinois",https://www.mountainproject.com/route/109346324/broken-direct,3.2,-1,Boulder,V4-5,1,,37.78205,-89.50666
"Bioterrorism Left","P: Bio-Terrorism Boulder > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/112460458/bioterrorism-left,2.9,-1,Boulder,V4-5,1,13,37.61886,-89.41456
"Undercling Problem","G: Perschbacher Boulder > Picnic Area Boulderfield > Dixon Springs State Park > Illinois",https://www.mountainproject.com/route/109215020/undercling-problem,3.0,-1,Boulder,V4-5,1,,37.38574,-88.66982
"I Wanna Talk Like You","Gorilla Boulder > B: Jungle Book > K: Bouldering > Pere Marquette State Park > Illinois",https://www.mountainproject.com/route/124088984/i-wanna-talk-like-you,4.0,-1,Boulder,V4-5,1,,38.97135,-90.48664
Kaa,"Bear ""Ass"" Boulder > B: Jungle Book > K: Bouldering > Pere Marquette State Park > Illinois",https://www.mountainproject.com/route/124089086/kaa,2.5,-1,Boulder,V4-5,1,,38.97133,-90.48665
"Mike's Crack","C: Brown Recluse and Cripps Cliffline > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125199722/mikes-crack,3.0,-1,Boulder,"V4-5 PG13",1,18,37.61908,-89.41149
"Walk off problem","U: Red Sea Boulder > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125199831/walk-off-problem,1.0,-1,Boulder,V4-5,1,8,37.61327,-89.41019
"Mod iron face","G: Bubble Wrap Area > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125199586/mod-iron-face,2.0,-1,Boulder,V4-5,1,18,37.61798,-89.41305
"Double Dragon","A. Arcade > H. State Property > House Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125204899/double-dragon,3.8,-1,Boulder,V4-5,1,12,37.61075,-89.40768
"Roof problem big move","I: Cliffline Public Enemy to Illuminati > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125217965/roof-problem-big-move,2.0,-1,Boulder,V4-5,1,15,37.61665,-89.41095
"Crimp problem","I: Cliffline Public Enemy to Illuminati > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125218086/crimp-problem,2.0,-1,Boulder,V4-5,1,10,37.61665,-89.41095
"Eden Face","X: Sinkhole > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125134241/eden-face,3.0,-1,Boulder,V4-5,1,20,37.61516,-89.40749
"Eye of the Beech","C. Steep slab cluster > A. Hillside Boulders > House Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125290787/eye-of-the-beech,3.0,-1,Boulder,"V4-5 R",1,10,37.60986,-89.40838
"Left Line","A: Gill Roof > A: Devils Standtable > C: Park Bouldering > Giant City State Park > Illinois",https://www.mountainproject.com/route/125442081/left-line,3.0,-1,Boulder,V4-5,1,10,37.60038,-89.19304
"dancing on protons","D: Stand Up Boulder and Jump for Jesus Area > Holy Boulders > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125553582/dancing-on-protons,4.0,-1,Boulder,V4-5,1,15,37.61837,-89.41148
"Dog Food Traverse","A. Hagler Roof > Hagler Road > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125562143/dog-food-traverse,1.0,-1,Boulder,V4-5,1,15,37.62792,-89.40566
"Beagle Alley","Breaking Bread Cliffline > B. Hagler Road North > Hagler Road > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125555516/beagle-alley,3.0,-1,Boulder,V4-5,1,,37.62816,-89.40556
"Polar Bear","A. Cold Plunge > D. Creek Boulders > Hagler Road > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125584377/polar-bear,3.0,-1,Boulder,V4-5,1,15,37.62746,-89.4078
"Koerner Arete","H.  Hagler Aretes > D. Creek Boulders > Hagler Road > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125556079/koerner-arete,4.0,-1,Boulder,V4-5,1,,37.62574,-89.40822
Holystone,"Brownstone Cliffline > C. Hagler Road South > Hagler Road > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125678224/holystone,4.0,-1,Boulder,V4-5,1,15,37.62719,-89.40588
"House of the Sloper","C. Sloper House > D. Creek Boulders > Hagler Road > *Holy Boulders and Surrounding > Illinois",https://www.mountainproject.com/route/125695516/house-of-the-sloper,4.0,-1,Boulder,V4-5,1,10,37.6274,-89.40854
