Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sweep the legs","Paiute Boulder > Paiute Boulders > Western Fringe Bouldering > * Keyhole Canyon Bouldering > Keyhole Canyon > Southern Nevada > Nevada",https://www.mountainproject.com/route/116556580/sweep-the-legs,4.0,-1,Boulder,V6-7,1,5,35.70914,-114.92903
"W.A.P. (Weird Asian Party)","Jimbo Rocks > Lower Canyon Bouldering > * Keyhole Canyon Bouldering > Keyhole Canyon > Southern Nevada > Nevada",https://www.mountainproject.com/route/120132361/wap-weird-asian-party,3.0,-1,Boulder,V6-7,1,10,35.715,-114.92589
Center,"Potato Chip > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/113679909/center,2.2,-1,Boulder,V6-7,1,10,36.15937,-115.41662
Basecamp,"Base Boulder > South Seas Bouldering > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/120184059/basecamp,2.0,-1,Boulder,V6-7,1,7,36.16823,-115.4207
"Dealer on a ship","Muse Boulder > Wendover Boulders > Eastern Nevada > Nevada",https://www.mountainproject.com/route/121916840/dealer-on-a-ship,2.0,-1,Boulder,V6-7,1,12,40.51267,-114.15466
"Michelangelo's Masterclass","Nunchuck Boulder > The Sewers > The Subway > Route 158 > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/122896305/michelangelos-masterclass,2.0,-1,Boulder,V6-7,1,15,36.32423,-115.61589
"Right face","Bill's Boulder > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/123427852/right-face,2.3,-1,Boulder,V6-7,1,12,36.15982,-115.41316
"Strange Hole","Locals Only Boulder > Big Sandy > Henderson Crags > Southern Nevada > Nevada",https://www.mountainproject.com/route/123555781/strange-hole,1.5,-1,Boulder,V6-7,1,8,36.06038,-114.9212
"Mothership Low","Jimbo Rocks > Lower Canyon Bouldering > * Keyhole Canyon Bouldering > Keyhole Canyon > Southern Nevada > Nevada",https://www.mountainproject.com/route/123664519/mothership-low,3.0,-1,Boulder,V6-7,1,8,35.715,-114.92589
"For The People","Giant Boulder > Swirly Cliff Boulders > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/124014477/for-the-people,3.0,-1,Boulder,"V6-7 R",1,25,36.16533,-115.4144
"Dark Streak","Lee Canyon Boulder 1 > Lee Canyon Boulders > Route 158 > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/124399736/dark-streak,3.0,-1,Boulder,V6-7,1,13,36.34265,-115.64633
"Moon Bow Sit","Earth Tide Boulder > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/125485043/moon-bow-sit,2.0,-1,Boulder,V6-7,1,12,36.15984,-115.41464
"JW Da Boss","Red Dawn Boulder > The Nest Area > (11) First Creek Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/125693573/jw-da-boss,1.0,-1,Boulder,V6-7,1,10,36.08156,-115.48322
