Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
tooth,"Seven Falls > Alabama",https://www.mountainproject.com/route/106651467/tooth,3.0,-1,Boulder,V0-1,1,15,34.3231,-86.9547
"Indian Roof","Temp HP40 > Alabama",https://www.mountainproject.com/route/106296380/indian-roof,2.6,-1,Boulder,V0-1,1,,33.92201,-86.30798
"Big Hugs","Down Stairs > Smith Mountain > Alabama",https://www.mountainproject.com/route/113768380/big-hugs,2.5,-1,Boulder,V0-1,1,12,32.80995,-85.83834
"Ranger Danger","Arrowhead Trail > Monte Sano State Park > Alabama",https://www.mountainproject.com/route/112871271/ranger-danger,2.0,-1,Boulder,V0-1,1,25,34.7216,-86.53713
"Got Your Back","Arrowhead Trail > Monte Sano State Park > Alabama",https://www.mountainproject.com/route/112871321/got-your-back,2.0,-1,Boulder,V0-1,1,25,34.7216,-86.53713
"Fingers of Glory","Chewacla State Park > Alabama",https://www.mountainproject.com/route/122507450/fingers-of-glory,2.0,-1,Boulder,"V0-1 R",1,30,32.5493,-85.47827
Bubba,"Bankhead Forest/Ship Rock > Alabama",https://www.mountainproject.com/route/106249545/bubba,2.0,-1,Boulder,V0-1,1,12,34.31983,-87.46345
"Jam Sandwich","Ten Pins Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/116248174/jam-sandwich,1.7,-1,Boulder,V0-1,1,15,33.92116,-86.30755
"Persian Shield","Arrowhead Trail > Monte Sano State Park > Alabama",https://www.mountainproject.com/route/112871359/persian-shield,1.5,-1,Boulder,V0-1,1,25,34.7216,-86.53713
"Jo's Cheek","Joelder > The Rocks that are Higher than I Bouldering Area > Hurricane Creek Bouldering Problems > Hurricane Creek Park (Tuscaloosa) > Alabama",https://www.mountainproject.com/route/116072844/jos-cheek,1.8,-1,Boulder,V0-1,1,17,33.2138,-87.44947
"I think I’ll just stay here and drink","New Sub-Area 1 > Rainbow Mountain > Alabama",https://www.mountainproject.com/route/116765218/i-think-ill-just-stay-here-and-drink,1.0,-1,Boulder,V0-1,1,7,34.73235,-86.72746
"Give Em The Left!","Griffin Falls > Alabama",https://www.mountainproject.com/route/120976553/give-em-the-left,1.0,-1,Boulder,V0-1,1,9,34.2876,-85.9237
"Draft Dodger","Creekside > Buck’s Pocket > Alabama",https://www.mountainproject.com/route/125766854/draft-dodger,2.0,-1,Boulder,V0-1,1,12,34.47493,-86.06007
"New Deal","Creekside > Buck’s Pocket > Alabama",https://www.mountainproject.com/route/125767652/new-deal,2.0,-1,Boulder,V0-1,1,,34.47493,-86.06007
