Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Skier Boyz Go Bouldering","Bowser's Castle > Mario Land Boulders > Stone Hill > Northwest Region > Montana",https://www.mountainproject.com/route/119035192/skier-boyz-go-bouldering,4.0,-1,Boulder,V2,1,18,48.82754,-115.27599
"Hail Mary","Bone and Barbed Wire Boulder > The Far East > Whiskey Proper > Whiskey Gulch > Southwest Region > Montana",https://www.mountainproject.com/route/119909671/hail-mary,4.0,-1,Boulder,V2,1,12,45.88422,-112.30442
"Excavation Optional","Upper Falls > Memorial Falls > Northwest Region > Montana",https://www.mountainproject.com/route/113223747/excavation-optional,4.0,-1,Boulder,V2,1,15,46.91478,-110.69328
"Eddie's arete","Eddie's Boulder > Mother Lode Boulders > Lost Horse > Northwest Region > Montana",https://www.mountainproject.com/route/120688695/eddies-arete,3.7,-1,Boulder,V2,1,12,46.09636,-114.25619
"Sapient Omnivore","Yoshi's Island > Mario Land Boulders > Stone Hill > Northwest Region > Montana",https://www.mountainproject.com/route/119011646/sapient-omnivore,3.5,-1,Boulder,V2,1,10,48.82743,-115.27603
"Second Breakfast","The Heap > Lolo Area > Northwest Region > Montana",https://www.mountainproject.com/route/119648350/second-breakfast,3.3,-1,Boulder,V2,1,30,46.71919,-114.52667
"Soggy Toes","The Dungeon > Lower Lake Boulder Area > Pine Creek Bouldering > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/122835659/soggy-toes,3.3,-1,"Boulder, Alpine",V2,1,6,45.49195,-110.4713
"Cobble Problem","The Teardrop Boulder > The Trailer Boulders > Lower Pipestone Forest > Southwest Region > Montana",https://www.mountainproject.com/route/118272996/cobble-problem,3.2,-1,Boulder,V2,1,14,45.93756,-112.26314
"Hungry Eyes","Creekside Boulder > Explosive Area > Cascade Creek > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/117745277/hungry-eyes,2.9,-1,"Boulder, Alpine",V2,1,12,45.39079,-111.23958
"Learn the Force","Toadstool > Mario Land Boulders > Stone Hill > Northwest Region > Montana",https://www.mountainproject.com/route/118935315/learn-the-force,3.0,-1,Boulder,V2,1,8,48.82742,-115.27613
"Bowser's Finger Crack","Bowser's Castle > Mario Land Boulders > Stone Hill > Northwest Region > Montana",https://www.mountainproject.com/route/118989562/bowsers-finger-crack,3.0,-1,Boulder,V2,1,12,48.82754,-115.27599
"Thumb-der Dome","Armadillo Boulder > Box Canyon > South Central Region > Montana",https://www.mountainproject.com/route/120928225/thumb-der-dome,3.0,-1,Boulder,V2,1,10,45.27417,-110.25028
