Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Prow","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/106399634/the-prow,3.5,-1,Boulder,V3,1,12,47.4031,-91.1637
"Spider Tracks","The Boneyards > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/106416981/spider-tracks,2.8,-1,Boulder,V3,1,14,45.39902,-92.65115
"Jaws Stand","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/117099126/jaws-stand,3.2,-1,Boulder,V3,1,15,47.4031,-91.1637
"Battle of the Bulge","Northwest Face 2 > Porcupine Crag > Spirit Mountain boulders > Duluth Area > Minnesota",https://www.mountainproject.com/route/117131883/battle-of-the-bulge,4.0,-1,Boulder,V3,1,15,46.6856,-92.229
Tetanus,"West Face > Porcupine Crag > Spirit Mountain boulders > Duluth Area > Minnesota",https://www.mountainproject.com/route/119703678/tetanus,4.0,-1,Boulder,V3,1,14,46.6856,-92.229
"Finger Buckets","Stewart Creek Boulders > Duluth Area > Minnesota",https://www.mountainproject.com/route/120070092/finger-buckets,4.0,-1,Boulder,V3,1,12,46.70325,-92.22544
"Gorilla Warfare Direct","Confederate Wall > Sanctuary > Duluth Area > Minnesota",https://www.mountainproject.com/route/111618304/gorilla-warfare-direct,4.0,-1,Boulder,V3,1,12,46.76033,-92.15942
"Graham Cracker","Graham's > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/123103815/graham-cracker,3.0,-1,Boulder,V3,1,,45.3987,-92.65224
"3 Finger Fitness","Louisville Swamp Boulder > Minnesota",https://www.mountainproject.com/route/106823050/3-finger-fitness,2.8,-1,Boulder,V3,1,12,44.71889,-93.6044
"TIGER BLOOD","Tiger Blood (***AREA CLOSED***) > Duluth Area > Minnesota",https://www.mountainproject.com/route/107305958/tiger-blood,3.7,-1,Boulder,V3,1,20,46.8244,-92.17847
"Kill Whitey","Louisville Swamp Boulder > Minnesota",https://www.mountainproject.com/route/106856794/kill-whitey,3.0,-1,Boulder,V3,1,10,44.71889,-93.6044
"Sweat and Slide","Boulder Area 2 > Bur Oak Trail > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/106865975/sweat-and-slide,3.1,-1,Boulder,V3,1,15,43.69144,-96.19407
"Sexy Hands","Below Trail Boulder > Bur Oak Trail > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/106573310/sexy-hands,3.5,-1,Boulder,V3,1,12,43.69144,-96.19407
"Pocket of Pain (sit start variations)","Louisville Swamp Boulder > Minnesota",https://www.mountainproject.com/route/106478402/pocket-of-pain-sit-start-variations,2.7,-1,Boulder,V3,1,14,44.71889,-93.6044
"Grip It and Rip It","Eldon > Sandstone > Minnesota",https://www.mountainproject.com/route/121269569/grip-it-and-rip-it,3.2,-1,Boulder,V3,1,6,46.13257,-92.85603
"Back for Redemption","Boulder Area 3 > Bur Oak Trail > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/106865960/back-for-redemption,3.0,-1,Boulder,V3,1,8,43.69144,-96.19407
"Lloyd's (Crack)","The Boneyards > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/106417483/lloyds-crack,2.6,-1,Boulder,V3,1,12,45.39902,-92.65115
"Enter the Honeycomb","Louisville Swamp Boulder > Minnesota",https://www.mountainproject.com/route/106580749/enter-the-honeycomb,2.9,-1,Boulder,V3,1,25,44.71889,-93.6044
Nike,"Quarry Boulder > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/107356782/nike,3.0,-1,Boulder,V3,1,,43.69574,-96.18702
"SOLO EXTENSION","Upper Wall > Piedmont roadside boulders > Duluth Area > Minnesota",https://www.mountainproject.com/route/106920272/solo-extension,3.0,-1,Boulder,V3,1,10,46.9951,-92.089
Tomcat,"The Boonyards aka The B2 Pit > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/106434913/tomcat,2.4,-1,Boulder,V3,1,12,45.39889,-92.65101
"Happy Boy","Bleak Boulders > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/120925245/happy-boy,3.0,-1,Boulder,"V3 PG13",1,15,43.70853,-96.17901
"Mental Hangover","Teacher's Overlook > Banning State Park - Bouldering > Minnesota",https://www.mountainproject.com/route/109256767/mental-hangover,3.0,-1,Boulder,V3,1,20,46.16448,-92.8395
"Depth Perception","Rasmussen West > Rasmussen Woods Boulders > Mankato Area Bouldering (Mankato) > Minnesota",https://www.mountainproject.com/route/118240177/depth-perception,3.0,-1,Boulder,V3,1,10,44.14538,-94.01806
contivance,"Old - Stillwater Ice > Minnesota",https://www.mountainproject.com/route/107152441/contivance,3.0,-1,Boulder,V3,1,8,45.0793,-92.7857
"The Rat Kong’s Traverse","The Lonely Boulder > Rasmussen Woods Boulders > Mankato Area Bouldering (Mankato) > Minnesota",https://www.mountainproject.com/route/118820020/the-rat-kongs-traverse,3.0,-1,Boulder,V3,1,10,44.14654,-94.01422
"get crackin","Stewart Creek Boulders > Duluth Area > Minnesota",https://www.mountainproject.com/route/123187230/get-crackin,3.0,-1,Boulder,V3,1,12,46.70325,-92.22544
"Forever Young","Crane Lake DWS > Crane Lake Area > MN/Canada Border Areas > Minnesota",https://www.mountainproject.com/route/110778372/forever-young,3.0,-1,"Boulder, Alpine",V3,1,10,48.27301,-92.46557
Fiasco,"The Chamber > North Quarry Talus > North Quarry Area > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/109257514/fiasco,3.0,-1,Boulder,V3,1,15,43.69576,-96.18662
Hooch,"HuckleBerry Hooch Tower > Bouldering @ Blue Mounds > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/110258915/hooch,3.0,-1,Boulder,V3,1,30,43.6975,-96.1747
"Dunns of Fun","Carlton Boulder > Carlton Peak > Temperance River State Park (North Shore) > Temperance River SP (North Shore) > Minnesota",https://www.mountainproject.com/route/108274597/dunns-of-fun,3.0,-1,Boulder,V3,1,20,47.5834,-90.8617
"Swedish Lightning","Monkey Wrench Boulder > Skink Boulders > Swede's Forest Boulders > Minnesota",https://www.mountainproject.com/route/107132042/swedish-lightning,3.0,-1,Boulder,V3,1,15,44.6879,-95.3654
