Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Apollo 11","Little Bugaboo Creek > McGee Creek Natural Scenic Recreation Area > SE Oklahoma > Oklahoma",https://www.mountainproject.com/route/121841334/apollo-11,4.0,-1,Boulder,V11,1,15,34.40102,-95.82364
"The Constellation","Main Area > Shotgun > Tulsa Area > Oklahoma",https://www.mountainproject.com/route/119649081/the-constellation,3.0,-1,Boulder,V11,1,25,36.15206,-96.16645
"The Strangler","Control and Resistance > The New Old > Chandler Park > Tulsa Area > Oklahoma",https://www.mountainproject.com/route/125468904/the-strangler,3.0,-1,Boulder,V11,1,8,36.13416,-96.06531
