Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Aztec Warrior","Pine Crest Trail Boulders aka Lakeside Boulders > Salt Fork State Park > Eastern Ohio > Ohio",https://www.mountainproject.com/route/113244171/aztec-warrior,2.8,-1,Boulder,V-easy,1,18,40.1132,-81.52968
"Randy Traverse","Stone Church > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114800539/randy-traverse,3.0,-1,Boulder,V-easy,1,4,40.12308,-81.95956
"Heel hook","Auttie’s Boulders > Central Ohio > Ohio",https://www.mountainproject.com/route/117585595/heel-hook,3.0,-1,Boulder,V-easy,1,20,40.29282,-81.87166
"Fly Away","Auttie’s Boulders > Central Ohio > Ohio",https://www.mountainproject.com/route/117585833/fly-away,3.0,-1,Boulder,V-easy,1,12,40.29282,-81.87166
"Owens El Cap","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/122886400/owens-el-cap,2.7,-1,Boulder,V-easy,1,7,41.21978,-81.70137
"Shag Carpet","Hippie Central > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113330970/shag-carpet,2.7,-1,Boulder,V-easy,1,10,39.91508,-83.85685
Creeky,"Dillon Lakeside > Central Ohio > Ohio",https://www.mountainproject.com/route/114800881/creeky,2.5,-1,Boulder,V-easy,1,18,40.01873,-82.09035
"Cold Toast","Stone Church > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/116174687/cold-toast,2.0,-1,Boulder,V-easy,1,15,40.12308,-81.95956
"Shelving Unit","Midstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110830733/shelving-unit,2.0,-1,Boulder,V-easy,1,5,41.3205,-81.6182
"Scratch &  Sniff","3. Low Point Boulders > D. The Point Boulders > Raven Rocks > Eastern Ohio > Ohio",https://www.mountainproject.com/route/121903882/scratch-sniff,2.0,-1,Boulder,V-easy,1,10,39.88143,-81.03078
"Walk in the Park","Cuyahoga Falls Gorge > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109717438/walk-in-the-park,2.0,-1,Boulder,V-easy,1,200,41.12369,-81.50637
"Easter Island Pink","Baker Run Boulders > Wayne National Forest- Marietta Unit > Wayne National Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/113233883/easter-island-pink,1.8,-1,Boulder,V-easy,1,12,39.4645,-81.3224
"Sunshine's backside","Christ Died > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994101/sunshines-backside,1.8,-1,Boulder,V-easy,1,15,41.21643,-81.69996
"Route 23","Witches Front > Athens > Southeast Ohio > Ohio",https://www.mountainproject.com/route/108161100/route-23,1.5,-1,Boulder,V-easy,1,,39.3226,-82.0877
"Main Street Traverse","Sand Hill > Great Seal State Park > Southwest Ohio > Ohio",https://www.mountainproject.com/route/117731095/main-street-traverse,1.5,-1,Boulder,V-easy,1,10,39.38505,-82.92684
"Black Widow","Dolomedes Wall > Hocking Hills State Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/109086126/black-widow,1.5,-1,Boulder,"5.7 V-easy PG13",1,20,39.45689,-82.5581
"Slab Blue","Baker Run Boulders > Wayne National Forest- Marietta Unit > Wayne National Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/113234012/slab-blue,1.5,-1,Boulder,V-easy,1,16,39.4645,-81.3224
"Instant Winner Yellow","Waku Boulders > Wayne National Forest- Marietta Unit > Wayne National Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/108867213/instant-winner-yellow,1.0,-1,Boulder,V-easy,1,10,39.45742,-81.31805
"Easy Does It","The Other Bat Cave > Bears Den Cabin > Mill Creek MetroParks > Northeast Ohio > Ohio",https://www.mountainproject.com/route/123227777/easy-does-it,1.0,-1,Boulder,V-easy,1,8,41.08461,-80.69528
Impaler,"Mollies Rock > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114801145/impaler,1.0,-1,Boulder,V-easy,1,10,40.07037,-81.93323
Dunk’n,"Brady’s Bluff > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114810454/dunkn,1.0,-1,Boulder,V-easy,1,10,40.01041,-81.97361
"Easy Street","Bell Ridge Boulders > Bell Ridge Boulders > Wayne National Forest- Marietta Unit > Wayne National Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/121806391/easy-street,1.0,-1,Boulder,V-easy,1,7,39.47975,-81.18127
Vamoose,"6. The Bulge > Flat Rocks > Central Ohio > Ohio",https://www.mountainproject.com/route/122944922/vamoose,1.0,-1,Boulder,V-easy,1,15,39.7334,-82.60321
"Alien Red","Waku Boulders > Wayne National Forest- Marietta Unit > Wayne National Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/108867094/alien-red,1.0,-1,Boulder,V-easy,1,10,39.45742,-81.31805
Moonlight,"Moonlight Buttress > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994080/moonlight,1.0,-1,Boulder,"5.2 V-easy",1,20,41.21653,-81.69838
