Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bring the Ruckus Project","Adventure Time Boulder > NCR Trail Parkton > Maryland",https://www.mountainproject.com/route/123112964/bring-the-ruckus-project,4.0,-1,Boulder,V9,1,10,39.63882,-76.65824
"Mordor Stand","The Wishing Boulder > Rocky Gorge Reservoir  (T. Howard Duckett Reservoir) > Maryland",https://www.mountainproject.com/route/118143576/mordor-stand,3.4,-1,Boulder,V9,1,10,39.3003,-76.6296
"Right hand of the leper","Liberty Reservoir Oakland Road > Maryland",https://www.mountainproject.com/route/118804536/right-hand-of-the-leper,3.2,-1,Boulder,V9,1,16,39.41886,-76.86685
"Truck Driver Right","Moby Dick and Trailer Boulders > Purple Trail Boulders > Rocks State Park > Maryland",https://www.mountainproject.com/route/118748711/truck-driver-right,3.0,-1,Boulder,V9,1,8,39.63595,-76.41267
"Chaos Roof","Chaos Roof > North Bank - Chaos Roof Area AKA Snowflake Boulder > Northwest Branch > Maryland",https://www.mountainproject.com/route/118993340/chaos-roof,3.3,-1,Boulder,"V9 PG13",1,,39.02933,-77.00334
"Avada Kedavra","Grimhold Boulder > Patapsco Valley State Park > Maryland",https://www.mountainproject.com/route/120565552/avada-kedavra,3.0,-1,Boulder,V9,1,10,39.36076,-76.95147
"Dirty Ernie's Revenge Variation","South Bank - Dirty Ernie > Northwest Branch > Maryland",https://www.mountainproject.com/route/121896972/dirty-ernies-revenge-variation,3.0,-1,Boulder,V9,1,15,39.02901,-77.00271
Crimps,"North Bank - Uphill Slab > Northwest Branch > Maryland",https://www.mountainproject.com/route/108748794/crimps,2.1,-1,Boulder,V9,1,,39.02998,-77.00408
Oooweee,"Riverside Boulder > NCR Trail Parkton > Maryland",https://www.mountainproject.com/route/122287061/oooweee,2.0,-1,Boulder,V9,1,8,39.63902,-76.65763
"No Struggle, No Progress","The General Boulder > Catoctin Mountain Park > Maryland",https://www.mountainproject.com/route/112373429/no-struggle-no-progress,2.0,-1,Boulder,V9,1,20,39.64057,-77.45829
"Future Roof","Future Roof > Catoctin Mountain Park > Maryland",https://www.mountainproject.com/route/112372717/future-roof,2.0,-1,Boulder,V9,1,12,39.65165,-77.4575
"The Art of Flight","Spitzbergen > Great Falls - Maryland Side > Maryland",https://www.mountainproject.com/route/123865533/the-art-of-flight,3.5,-1,Boulder,V9,1,20,38.98272,-77.24336
"Honey Go Go","Honey Go Go Boulder > Gunpowder Falls - Hereford Area > Maryland",https://www.mountainproject.com/route/124120530/honey-go-go,3.8,-1,Boulder,V9,1,,39.43529,-76.45504
