Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Yellow Wall Arete","Yellow Wall Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106080999/yellow-wall-arete,3.8,-1,Boulder,V4,1,,33.71879,-84.56434
Yoshi,"Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/108611500/yoshi,3.3,-1,Boulder,V4,1,15,34.64924,-85.39164
"El Bano Direct","Asphalt Boulders > Rocktown > Georgia",https://www.mountainproject.com/route/107793139/el-bano-direct,3.1,-1,Boulder,V4,1,15,34.6502,-85.39198
"Isle of the Beautiful Women","Vagina Area > Rocktown > Georgia",https://www.mountainproject.com/route/106338706/isle-of-the-beautiful-women,3.5,-1,Boulder,V4,1,15,34.65318,-85.39102
"Screaming Church Girls","Chex Area > Rocktown > Georgia",https://www.mountainproject.com/route/110076054/screaming-church-girls,3.1,-1,Boulder,V4,1,10,34.64962,-85.39258
"Fire Woman","Firewoman Area > Paint Can/Lost Digits Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106081019/fire-woman,3.1,-1,Boulder,V4,1,,33.72093,-84.56445
"Keeper of the Boat","Keeper of the Boat Area > Easy Crack Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106321103/keeper-of-the-boat,3.5,-1,Boulder,V4,1,,33.72198,-84.56489
"Red Sparrow","Sparrow Boulder > Parking Lot Boulders > Mount Yonah > Georgia",https://www.mountainproject.com/route/107472128/red-sparrow,3.5,-1,Boulder,V4,1,10,34.63726,-83.72324
"The Turret","Phantom Area > Zahnd Natural Area > Georgia",https://www.mountainproject.com/route/118249590/the-turret,3.8,-1,Boulder,V4,1,,34.65728,-85.47245
"Freed's Fall","Campus Punks > Rocktown > Georgia",https://www.mountainproject.com/route/112428001/freeds-fall,3.8,-1,Boulder,V4,1,,34.65246,-85.39086
"Grape Ape","Grape Ape > Rocktown > Georgia",https://www.mountainproject.com/route/108063793/grape-ape,3.6,-1,Boulder,"V4 PG13",1,,34.64994,-85.39145
Anti-Scoop,"Back Street Boulders > Rocktown > Georgia",https://www.mountainproject.com/route/108595502/anti-scoop,2.6,-1,Boulder,V4,1,10,34.65028,-85.39241
"Spiderman Traverse","Spider Man Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106086302/spiderman-traverse,2.9,-1,Boulder,V4,1,,33.72003,-84.56427
"Pocket Rocket","Orbitals > Rocktown > Georgia",https://www.mountainproject.com/route/113654428/pocket-rocket,3.1,-1,Boulder,V4,1,10,34.65401,-85.39078
"Sourwood Sit","Sourwood Area > Easy Crack Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106321124/sourwood-sit,3.1,-1,Boulder,V4,1,,33.72162,-84.56473
"Jug Surfin'","Vagina Area > Rocktown > Georgia",https://www.mountainproject.com/route/111249701/jug-surfin,2.7,-1,Boulder,V4,1,12,34.65318,-85.39102
"Alphabet Soup","Noon Wall > Buford Dam Boulders > Georgia",https://www.mountainproject.com/route/116247485/alphabet-soup,4.0,-1,Boulder,V4,1,20,34.1466,-84.08244
"LP Slab","The Beach Area > Easy Crack Area > Boat Rock > Georgia",https://www.mountainproject.com/route/123245114/lp-slab,4.0,-1,Boulder,V4,1,20,33.72153,-84.56498
"Old Style","The Croc Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/108382026/old-style,2.9,-1,Boulder,V4,1,,34.64725,-85.39156
"Yellow Wall Slab","Yellow Wall Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106084868/yellow-wall-slab,3.2,-1,Boulder,V4,1,20,33.71879,-84.56434
"Barrel Hug","Glove Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106081748/barrel-hug,3.1,-1,Boulder,V4,1,,33.71973,-84.56527
"Crazy Bird","The Wedge > Juliette Boulders > Georgia",https://www.mountainproject.com/route/111666021/crazy-bird,3.6,-1,Boulder,V4,1,6,33.02969,-83.76744
"Reverse Traverse","Helicopter Area > Rocktown > Georgia",https://www.mountainproject.com/route/108029196/reverse-traverse,3.3,-1,Boulder,V4,1,20,34.6591,-85.3899
"Left Croc Bloc","The Croc Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/109895008/left-croc-bloc,3.0,-1,Boulder,V4,1,,34.64725,-85.39156
"The Shield Sit","Yellow Wall Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106658449/the-shield-sit,3.1,-1,Boulder,V4,1,,33.71879,-84.56434
"Crock Block Right","The Croc Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/118571785/crock-block-right,3.2,-1,Boulder,V4,1,10,34.64725,-85.39156
"Campbell Chunky","Congo > Zahnd Natural Area > Georgia",https://www.mountainproject.com/route/118249564/campbell-chunky,3.4,-1,Boulder,V4,1,,34.65325,-85.4733
"The Sinner","45/Bunker Boulder > Parking Lot Boulders > Mount Yonah > Georgia",https://www.mountainproject.com/route/107938052/the-sinner,3.0,-1,Boulder,V4,1,10,34.63725,-83.72324
"Pasty Faced Weirdos","Vagina Area > Rocktown > Georgia",https://www.mountainproject.com/route/113878767/pasty-faced-weirdos,3.3,-1,Boulder,V4,1,15,34.65318,-85.39102
Lullaby,"The Sandman > Island Ford > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/111304042/lullaby,3.7,-1,Boulder,V4,1,20,33.99193,-84.32622
"Watermelon Arete (aka Bob's Arete)","Paint Can Area > Paint Can/Lost Digits Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106085826/watermelon-arete-aka-bobs-arete,2.9,-1,Boulder,V4,1,,33.72116,-84.56429
Picasso,"Bamboo Forest Area > The Palisades > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/118184617/picasso,3.3,-1,Boulder,"V4 R",1,16,33.89397,-84.44216
"If Only I Had A Name","Tao Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/120367009/if-only-i-had-a-name,3.2,-1,Boulder,V4,1,10,34.6534,-85.39027
"Marietta Maiden","Mangler Area > The Palisades > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/115682718/marietta-maiden,3.2,-1,Boulder,"V4 PG13",1,15,33.89594,-84.44298
"Bullet Proof","45/Bunker Boulder > Parking Lot Boulders > Mount Yonah > Georgia",https://www.mountainproject.com/route/107888199/bullet-proof,3.1,-1,Boulder,V4,1,20,34.63725,-83.72324
"Innocent Until Proven Guilty","Cave Wall > Murder Creek > Georgia",https://www.mountainproject.com/route/118863476/innocent-until-proven-guilty,3.3,-1,Boulder,V4,1,18,33.22891,-83.44626
"Heaven Arete","Kashmir Area > Paint Can/Lost Digits Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106982053/heaven-arete,2.8,-1,Boulder,V4,1,15,33.72095,-84.56461
"Preacher Arete","Pope Face Area > Half Pipe Area > Boat Rock > Georgia",https://www.mountainproject.com/route/112492023/preacher-arete,3.0,-1,Boulder,V4,1,,33.71668,-84.56336
"The Hop","Half Pipe Area > Half Pipe Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106083075/the-hop,3.0,-1,Boulder,V4,1,,33.71686,-84.56321
"Unnamed Crack","Boulder  1 > Hitchiti Boulders > Georgia",https://www.mountainproject.com/route/106319506/unnamed-crack,3.0,-1,Boulder,V4,1,18,33.0262,-83.7207
"Evening Glory","Unsorted Parking Lot Boulder Problems > Parking Lot Boulders > Mount Yonah > Georgia",https://www.mountainproject.com/route/116165046/evening-glory,3.3,-1,Boulder,V4,1,15,34.63725,-83.72324
"Mexican Snowman","Palisades North > The Palisades > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/118782653/mexican-snowman,3.0,-1,Boulder,V4,1,14,33.90796,-84.44559
Crocker,"The Croc Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/109895001/crocker,2.5,-1,Boulder,V4,1,10,34.64725,-85.39156
"Left Arete","Snake Pit Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106081420/left-arete,3.0,-1,Boulder,V4,1,,33.71931,-84.56341
Sickle,"Soviet Cave Area > The Palisades > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/116787485/sickle,3.0,-1,Boulder,"V4 R",1,25,33.88476,-84.44173
"Brown Recluse","Arachnid Wall > The Palisades - West > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/107137513/brown-recluse,3.0,-1,Boulder,V4,1,20,33.88417,-84.44444
"Bear Naked","Snake Pit Area > Boat Rock > Georgia",https://www.mountainproject.com/route/120242757/bear-naked,3.0,-1,Boulder,V4,1,,33.71931,-84.56341
