Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Pocket Problem","Millenium Boulder > The Hideaway > Happy Valley and The Hideaway > Montague Wildlife Management Area > Western MA > Massachusetts",https://www.mountainproject.com/route/108540900/the-pocket-problem,2.8,-1,Boulder,V6,1,,42.397,-72.46885
"The Shape of Water","Oath Breaker Boulder > Megatron Area > Rockport South Woods > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/113909770/the-shape-of-water,3.5,-1,Boulder,V6,1,13,42.57598,-70.72446
Pancake,"Clubhouse Boulder > Golf Course Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106914955/pancake,3.3,-1,Boulder,V6,1,13,42.45036,-71.00481
"Egg Hunt","Secluded Boulder > Sector One > The Promised Land > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107197046/egg-hunt,3.5,-1,Boulder,V6,1,13,42.50997,-71.02564
"Room Service","C Block > Hotel Boulders > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107154980/room-service,3.5,-1,Boulder,V6,1,15,42.5302,-70.98815
"Kill Russ, Volume 1","Kill Russ Boulder > Quarry Land > Milford Bouldering > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106598725/kill-russ-volume-1,2.8,-1,Boulder,V6,1,,42.16558,-71.51744
"Smuggling Plums","Pine Tree Boulder > The Trees > Gilbert Hills State Park > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106537836/smuggling-plums,3.0,-1,Boulder,V6,1,,42.05721,-71.27884
"Atomic Traverse","Atomic Boulder > Milford Bouldering > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/108857368/atomic-traverse,2.8,-1,Boulder,V6,1,,42.1644,-71.51255
"Nosebleed (SDS)","Shoreline Goliath > Rocky Pond > Central, MA > Massachusetts",https://www.mountainproject.com/route/123093309/nosebleed-sds,3.2,-1,Boulder,V6,1,21,42.35022,-71.68604
Moonflight,"Lower Skyport > Skyport > Neverland > Montague Wildlife Management Area > Western MA > Massachusetts",https://www.mountainproject.com/route/110582516/moonflight,3.0,-1,Boulder,V6,1,,42.52064,-72.49441
"Hardly Working","Lunch Break Boulder > Borderland State Park Easton > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/109722545/hardly-working,2.9,-1,Boulder,V6,1,10,42.06409,-71.16337
Primate,"Bob Johnson Boulder  2 > Bob Johnson Crag > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106967462/primate,3.0,-1,Boulder,V6,1,14,42.48619,-70.98255
666,"Talus Cliff Band > God’s Acre, Worcester > Central, MA > Massachusetts",https://www.mountainproject.com/route/121693971/666,3.0,-1,Boulder,V6,1,16,42.25863,-71.86219
"The Pinch","The 128 Boulder > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/111651168/the-pinch,2.9,-1,Boulder,V6,1,,42.5945,-70.7539
"Rumor Has It","Mothership Boulder > Gilbert Hills State Park > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/107352650/rumor-has-it,3.0,-1,Boulder,V6,1,15,42.0595,-71.2759
AB+AB,"The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107763190/abab,3.0,-1,Boulder,V6,1,12,42.49728,-70.99708
"Second Chances","Second Chances > Gilbert Hills State Park > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106531874/second-chances,3.0,-1,Boulder,V6,1,,42.0595,-71.2759
Hemlock,"Beehive Boulders > North Side > Dykes Pond (Gloucester) > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/116221519/hemlock,3.0,-1,Boulder,V6,1,10,42.61503,-70.72428
"2. 12 Volt","Little Mario Boulder > Parking Lot/Fenway Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/112421468/2-12-volt,3.0,-1,Boulder,V6,1,12,42.49678,-70.97774
"Robin Hood (AKA The ""Ass Dragging Arete"")","Robin Hood Boulder > Milford Bouldering > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/108461152/robin-hood-aka-the-ass-dragging-arete,3.0,-1,Boulder,V6,1,8,42.16344,-71.51897
