Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Who Needs Hueco","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106837496/who-needs-hueco,3.5,-1,Boulder,V8,1,8,41.9053,-71.4356
"Hueco Dreams","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107416301/hueco-dreams,3.4,-1,Boulder,V8,1,18,41.9053,-71.4356
"Leap Frog Variation","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107708114/leap-frog-variation,3.0,-1,Boulder,V8,1,18,41.9053,-71.4356
"The Executioner - Post Break","The Tombstone > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/123509174/the-executioner-post-break,4.0,-1,Boulder,V8,1,,41.89477,-71.43729
"Full Throttle","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107012212/full-throttle,2.8,-1,Boulder,V8,1,20,41.8976,-71.4341
"Fight With New Wars","War Zone > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/110584785/fight-with-new-wars,3.7,-1,Boulder,V8,1,,41.57035,-71.73275
"Heart of Glass SDS","Heart Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/113846259/heart-of-glass-sds,3.5,-1,Boulder,V8,1,14,41.8986,-71.4351
Clutch,"Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106882676/clutch,2.1,-1,Boulder,V8,1,13,41.8976,-71.4341
"Belly of the Beast","Deadwood > Beach Pond > Rhode Island",https://www.mountainproject.com/route/107614660/belly-of-the-beast,3.3,-1,Boulder,"V8 R",1,15,41.5694,-71.7766
"Power Harvest","Little Tomato > The Tomato Boulders > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106884359/power-harvest,2.6,-1,Boulder,V8,1,12,41.8974,-71.4324
Vulture,"Peace Dove Boulder > Peace Dove Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106841816/vulture,2.6,-1,Boulder,V8,1,9,41.8946,-71.4301
Crystallography,"The Escoheag Boulder > Escoheag > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108872939/crystallography,2.8,-1,Boulder,V8,1,12,41.5848,-71.7537
"Glass Elephant","Dark Side > Caves and Troll Toll > Rocky Point > Rhode Island",https://www.mountainproject.com/route/116104313/glass-elephant,2.3,-1,Boulder,V8,1,8,41.68919,-71.36946
"The People of the Small Point","Pettaquamscutt Rock 1 > Narragansett > Rhode Island",https://www.mountainproject.com/route/114275728/the-people-of-the-small-point,3.0,-1,Boulder,V8,1,19,41.4708,-71.45409
"Another Word For Pirate Treasure","Black Point > Narragansett > Rhode Island",https://www.mountainproject.com/route/106890044/another-word-for-pirate-treasure,2.8,-1,Boulder,V8,1,,41.398,-71.4624
"Midnight Lichen","Yosemite Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107012241/midnight-lichen,2.8,-1,Boulder,V8,1,10,41.90152,-71.4372
"Generation Next","Coke Bottle Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107942615/generation-next,3.0,-1,Boulder,"V8 PG13",1,20,41.89513,-71.43302
"Sleeping with the Enemy","The Gift > Slick 50 and Whale Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/111495277/sleeping-with-the-enemy,2.8,-1,Boulder,V8,1,10,41.89519,-71.43172
"Loadies Dream","Iron Cross Boulder > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106882776/loadies-dream,2.5,-1,Boulder,V8,1,60,41.89771,-71.4342
"Tips Ahoy","Summit Boulders > Summit / Pinnacle Boulders > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107378550/tips-ahoy,2.1,-1,Boulder,V8,1,12,41.8975,-71.4339
"low down","The Overhangs > Escoheag > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/107607393/low-down,2.3,-1,Boulder,V8,1,25,41.588,-71.7556
"Sean's Solution","The Forgotten Boulder > Stubtown Rd. Boulders > Rockville > Rhode Island",https://www.mountainproject.com/route/111117837/seans-solution,2.5,-1,Boulder,V8,1,,41.49986,-71.76056
"Jeep Wrangler","Small Cave > Caves and Troll Toll > Rocky Point > Rhode Island",https://www.mountainproject.com/route/111341368/jeep-wrangler,2.0,-1,Boulder,V8,1,,41.68915,-71.36942
"Crocodile Barbershop","Jesus Loves You Boulder > Peace Dove Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107364177/crocodile-barbershop,2.3,-1,Boulder,V8,1,,41.89459,-71.43052
"Art of the Grip","Buttcrack Wall and Overhang > Railroad Area > Rocky Point > Rhode Island",https://www.mountainproject.com/route/120702327/art-of-the-grip,1.7,-1,Boulder,V8,1,14,41.68905,-71.36931
"Cool Side of the Pillow","Riverbed Boulder > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108845003/cool-side-of-the-pillow,2.0,-1,Boulder,"V8 PG13",1,,41.57664,-71.71211
"Wilder Problem","Deception Boulder > Rockville > Rhode Island",https://www.mountainproject.com/route/119865341/wilder-problem,2.0,-1,Boulder,V8,1,10,41.506,-71.7702
