Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Barbed Wire","Tuolumne Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106886449/barbed-wire,3.6,-1,Boulder,V9,1,,41.89771,-71.43452
"Keep It Hid","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107991831/keep-it-hid,3.5,-1,Boulder,V9,1,12,41.9053,-71.4356
Supernormal,"Deadwood > Beach Pond > Rhode Island",https://www.mountainproject.com/route/112472068/supernormal,3.2,-1,Boulder,V9,1,10,41.5694,-71.7766
"Jacked Bagel (sit)","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/108138545/jacked-bagel-sit,2.6,-1,Boulder,V9,1,14,41.8976,-71.4341
"Right Sit to Straight Again","Try Again Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106841502/right-sit-to-straight-again,3.1,-1,Boulder,V9,1,17,41.89592,-71.43158
"Fallout (Notochord Sit)","The ""Lost"" Boulder > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/111804005/fallout-notochord-sit,2.9,-1,Boulder,V9,1,,41.6172,-71.7657
"Gassed Off","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107012218/gassed-off,2.9,-1,Boulder,V9,1,25,41.8976,-71.4341
"Prophet of Doom","The Tombstone > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106895978/prophet-of-doom,3.0,-1,Boulder,V9,1,16,41.89477,-71.43729
"Prelude to Fear","Lilypad Boulders > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107364220/prelude-to-fear,2.5,-1,Boulder,V9,1,17,41.8976,-71.4339
Condemned,"The Tombstone > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/123304821/condemned,3.0,-1,Boulder,V9,1,,41.89477,-71.43729
Sadist,"Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/113949353/sadist,2.4,-1,Boulder,V9,1,,41.8976,-71.4341
"Finders Keepers","The ""Lost"" Boulder > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/106895643/finders-keepers,2.4,-1,Boulder,V9,1,,41.6172,-71.7657
"Loadies Nightmare","Iron Cross Boulder > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106882790/loadies-nightmare,2.5,-1,Boulder,V9,1,70,41.89771,-71.4342
"Jabba the Hut","Black Hut Boulder > Rhode Island",https://www.mountainproject.com/route/106891069/jabba-the-hut,2.7,-1,Boulder,V9,1,,41.98643,-71.66989
Shattered,"Heart Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/108101950/shattered,2.4,-1,Boulder,V9,1,,41.8986,-71.4351
"Grotesque Bagel","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/113953552/grotesque-bagel,2.0,-1,Boulder,V9,1,,41.8976,-71.4341
"Dream On","Iron Cross Boulder > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106882782/dream-on,2.0,-1,Boulder,V9,1,60,41.89771,-71.4342
"Conquest of the Irrational","Fred Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106895915/conquest-of-the-irrational,2.0,-1,Boulder,V9,1,11,41.89807,-71.43483
"Whitey's Hard One","Yosemite Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107012274/whiteys-hard-one,1.5,-1,Boulder,V9,1,10,41.90152,-71.4372
"Big Sucka","Summit Boulders > Summit / Pinnacle Boulders > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107378593/big-sucka,1.5,-1,Boulder,V9,1,7,41.8975,-71.4339
"Feeling Needy","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107694238/feeling-needy,1.4,-1,Boulder,V9,1,35,41.9053,-71.4356
"Pocket Rocket Variation","Improbable Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/120324570/pocket-rocket-variation,1.5,-1,Boulder,V9,1,10,41.8975,-71.4339
"Trojan Horse","Horse Cave > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106884408/trojan-horse,1.5,-1,Boulder,V9,1,13,41.89941,-71.43849
Señrita,"Try Again Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/123620524/senrita,3.0,-1,Boulder,V9,1,,41.89592,-71.43158
"Shard of Glass","Heart Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/125569785/shard-of-glass,2.0,-1,Boulder,V9,1,12,41.8986,-71.4351
