Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Lost Boys Throw","Lost Digits Area > Paint Can/Lost Digits Area > Boat Rock > Georgia",https://www.mountainproject.com/route/107472564/lost-boys-throw,3.1,-1,Boulder,V5-6,1,,33.72091,-84.56463
"Land Down Unda","Dug Mountain (Hood Rock) Dalton, GA > Georgia",https://www.mountainproject.com/route/108321115/land-down-unda,3.5,-1,Boulder,"V5-6 PG13",1,18,34.743,-85.01534
"Tough Love Right","The Bads > Rocktown > Georgia",https://www.mountainproject.com/route/114128698/tough-love-right,2.6,-1,Boulder,V5-6,1,12,34.65221,-85.39084
"Slide Show","The Throne of God > Juliette Boulders > Georgia",https://www.mountainproject.com/route/111798883/slide-show,3.0,-1,Boulder,"V5-6 PG13",1,20,33.02969,-83.76744
"Kittens in space","Dug Mountain (Hood Rock) Dalton, GA > Georgia",https://www.mountainproject.com/route/107295859/kittens-in-space,3.0,-1,Boulder,"V5-6 R",1,10,34.743,-85.01534
"Cradle To The Grave","Right Scoop > Juliette Boulders > Georgia",https://www.mountainproject.com/route/112797073/cradle-to-the-grave,2.8,-1,Boulder,V5-6,1,8,33.02969,-83.76744
"Turbo charger","Cherokee Bluffs > Georgia",https://www.mountainproject.com/route/118748436/turbo-charger,2.2,-1,Boulder,V5-6,1,,34.13638,-83.9126
"End of The Line","The Line > Juliette Boulders > Georgia",https://www.mountainproject.com/route/107899810/end-of-the-line,2.0,-1,Boulder,V5-6,1,6,33.02969,-83.76744
"Python Right","Yellow Wall Area > Boat Rock > Georgia",https://www.mountainproject.com/route/121462240/python-right,2.0,-1,Boulder,V5-6,1,,33.71879,-84.56434
"Python Left","Yellow Wall Area > Boat Rock > Georgia",https://www.mountainproject.com/route/121462270/python-left,2.0,-1,Boulder,V5-6,1,,33.71879,-84.56434
"Screaming Candle Boys","Chex Area > Rocktown > Georgia",https://www.mountainproject.com/route/123469955/screaming-candle-boys,2.0,-1,Boulder,V5-6,1,25,34.64962,-85.39258
Undercling,"Project Boulder > Parking Lot Boulders > Mount Yonah > Georgia",https://www.mountainproject.com/route/123631117/undercling,2.5,-1,Boulder,V5-6,1,,34.63725,-83.72324
"One Night Sit","Climax Boulder > Morgan Falls > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/123787158/one-night-sit,3.0,-1,Boulder,V5-6,1,18,33.9718,-84.37492
"Burger Toss","Yonah Burger Boulder > Parking Lot Boulders > Mount Yonah > Georgia",https://www.mountainproject.com/route/123848243/burger-toss,2.5,-1,Boulder,V5-6,1,7,34.63725,-83.72324
"Spit on it","Climax Boulder > Morgan Falls > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/124049206/spit-on-it,3.8,-1,Boulder,V5-6,1,10,33.9718,-84.37492
"Idiot seed","Pride Rock > Buford Dam Boulders > Georgia",https://www.mountainproject.com/route/124359093/idiot-seed,3.0,-1,Boulder,V5-6,1,10,34.1472,-84.08156
