Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Worldstar,"Adam's Boulders > Willamette Valley > Oregon",https://www.mountainproject.com/route/121852175/worldstar,3.8,-1,Boulder,V11,1,20,43.61389,-122.448
"Workshop 68","Pink Tag Boulders > The Garden > Willamette Valley > Oregon",https://www.mountainproject.com/route/120626475/workshop-68,4.0,-1,Boulder,V11,1,20,44.44005,-122.57568
"Glass Archer","Riverside Boulders > The MBV Boulders > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/120280206/glass-archer,4.0,-1,Boulder,V11,1,12,44.03156,-121.33334
"The White","Wizard Hat > (6.) Beach Area > Mill Creek Falls > Southwest Oregon > Oregon",https://www.mountainproject.com/route/122987520/the-white,4.0,-1,Boulder,V11,1,,42.74498,-122.49504
Southpaw,"b. Cedar > d. Stump Boulders > Main Forest > Carver Bouldering > Carver > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/118987259/southpaw,3.7,-1,Boulder,V11,1,,45.3918,-122.49946
"The Arboretum","Azain Boulder > The Garden Boulders > The Garden > Willamette Valley > Oregon",https://www.mountainproject.com/route/123384833/the-arboretum,3.0,-1,Boulder,V11,1,,44.44109,-122.57454
"A Path Through Fury","Sappy Boulder > Sappy Boulders > Smith Rock Bouldering > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/123415986/a-path-through-fury,4.0,-1,Boulder,V11,1,12,44.37377,-121.13603
"The Goblin","The Depot > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/124194103/the-goblin,3.0,-1,Boulder,V11,1,20,44.03134,-121.33324
"Monkey Wrench Gang","Clear-cut Boulder > The Callahans > Southwest Oregon > Oregon",https://www.mountainproject.com/route/124848210/monkey-wrench-gang,4.0,-1,Boulder,V11,1,,43.20891,-123.57
"Monte Carlo","The Sarlacc Pit > The Crops > Willamette Valley > Oregon",https://www.mountainproject.com/route/125290850/monte-carlo,3.5,-1,Boulder,V11,1,,43.6989,-122.36392
"Catacomb Kids","The Sarlacc Pit > The Crops > Willamette Valley > Oregon",https://www.mountainproject.com/route/125290894/catacomb-kids,3.0,-1,Boulder,V11,1,,43.6989,-122.36392
