Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bachar Cracker","Bachar Cracker Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107094498/bachar-cracker,3.9,-1,Boulder,V4,1,,37.74317,-119.60292
"Jedi Mind Tricks","Jedi Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106464345/jedi-mind-tricks,3.9,-1,Boulder,"V4 PG13",1,25,37.3366,-118.5703
Pigpen,"Pigpen Boulder > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722992/pigpen,3.9,-1,Boulder,V4,1,10,34.0153,-116.15811
"East Buttress","4. East Buttress > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833467/east-buttress,3.5,-1,"Trad, Boulder","5.10b V4",9,1200,37.73,-119.62548
Yeti,"Yeti Boulder > The Brickyard > * Santa Barbara Bouldering > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/106603322/yeti,3.8,-1,Boulder,V4,1,15,34.49764,-119.8617
"Stem Gem","Stem Gem Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722608/stem-gem,3.8,-1,Boulder,V4,1,20,34.01716,-116.16368
"Iron Man Traverse","Iron Man Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936763/iron-man-traverse,3.6,-1,Boulder,V4,1,,37.33001,-118.57811
"Bates Arete","Bates Arete Boulder > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736294/bates-arete,3.7,-1,Boulder,V4,1,10,37.22868,-122.09628
"Saturday Night Live","Saturday Night Live Boulder > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723517/saturday-night-live,3.6,-1,Boulder,V4,1,13,34.01167,-116.16855
"Ketron Classic","Savannah Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106054139/ketron-classic,3.6,-1,Boulder,V4,1,,37.418,-118.452
Zorro,"Zorro Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106774200/zorro,3.6,-1,Boulder,V4,1,12,37.73744,-119.57605
"The Fang","The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106731640/the-fang,3.5,-1,Boulder,V4,1,15,37.42173,-118.43338
"Sloper Safari","Meadows Boulder > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106329025/sloper-safari,3.3,-1,Boulder,V4,1,10,33.99418,-116.14301
"OK Problem","H Boulder (aka Reed's Boulder) > Roadside Corral > OK Corral > Black Mountain > San Jacinto Mountains > California",https://www.mountainproject.com/route/106300862/ok-problem,3.3,-1,Boulder,V4,1,,34.42267,-117.86436
Solarium,"Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105943524/solarium,3.2,-1,Boulder,V4,1,15,37.41737,-118.45125
"The Flying Zebra","Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107006182/the-flying-zebra,3.4,-1,Boulder,V4,1,,37.41844,-118.45269
"Weapon of Choice","Campground Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106297257/weapon-of-choice,3.3,-1,Boulder,V4,1,14,37.5103,-118.7147
Weekender,"Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105988476/weekender,3.1,-1,Boulder,V4,1,20,37.41624,-118.44938
"Hueco Slap","Dog Dish Boulders > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105792950/hueco-slap,3.1,-1,Boulder,V4,1,12,37.22801,-122.09564
"Roof Romp","Romp Roof > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105837898/roof-romp,3.1,-1,Boulder,V4,1,15,34.02174,-116.16332
"Big Chicken","Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105988465/big-chicken,3.0,-1,Boulder,V4,1,15,37.41747,-118.45136
"The Rising","The Loaf > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106027098/the-rising,3.1,-1,Boulder,V4,1,,37.33022,-118.57882
"Mothership Connection","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106340978/mothership-connection,3.3,-1,Boulder,V4,1,15,37.42254,-118.43364
"Cue Ball","Shadow Play Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106331180/cue-ball,3.0,-1,Boulder,V4,1,15,37.41788,-118.45147
"Green Hornet","Green Hornet Boulder > Dale's West > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106737211/green-hornet,3.9,-1,Boulder,V4,1,18,37.3185,-118.5781
"The Ramp","Mortar Rock > Mortar Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735302/the-ramp,2.9,-1,Boulder,V4,1,10,37.89327,-122.2724
Triceratops,"Triceratops Boulder > Secrets > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/111824185/triceratops,3.9,-1,Boulder,V4,1,,38.60389,-123.36885
"Standing on the Head of the Dragon","Dragon's Head > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997111/standing-on-the-head-of-the-dragon,3.6,-1,Boulder,V4,1,30,33.81363,-116.65063
"Little Chucky","Chuckawalla Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107934846/little-chucky,2.9,-1,Boulder,V4,1,8,34.02056,-116.16505
"Bleached Bones","Bleached Bones Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106052632/bleached-bones,2.8,-1,Boulder,V4,1,,37.4185,-118.45253
"Saddle Traverse","Saddle Boulders > The Summit > Black Mountain > San Jacinto Mountains > California",https://www.mountainproject.com/route/108943722/saddle-traverse,3.3,-1,Boulder,V4,1,20,33.82284,-116.75681
"Buttermilk Stem SDS","Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109519160/buttermilk-stem-sds,3.5,-1,Boulder,V4,1,15,37.32906,-118.5768
"B1 Traverse","B1 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/108105393/b1-traverse,3.2,-1,Boulder,V4,1,,34.3406,-118.01595
"Whiskey, Beer and Spliff Hits for Breakfast","Rim Job Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106915496/whiskey-beer-and-spliff-hits-for-breakfast,3.5,-1,Boulder,V4,1,12,37.4228,-118.4343
"Beer Tumor Right","Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106275488/beer-tumor-right,2.7,-1,Boulder,V4,1,10,37.41591,-118.44877
"Cave Problem","Grandpa Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936107/cave-problem,2.6,-1,Boulder,V4,1,,37.32817,-118.57477
"Sunshine Daydream (aka Yo Picasso)","Sunshine Daydream Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106492551/sunshine-daydream-aka-yo-picasso,3.7,-1,Boulder,V4,1,16,33.81537,-116.65012
Masterwork,"Trigantor > Rainbow > Donner/Truckee Bouldering > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/117584731/masterwork,3.8,-1,Boulder,V4,1,,39.3089,-120.51382
"The Chief","Chief Boulder > 4&5 North > Groupsites 4&5 > Groupsites > Black Mountain > San Jacinto Mountains > California",https://www.mountainproject.com/route/110294329/the-chief,3.5,-1,Boulder,V4,1,,33.83793,-116.74504
"Tufatafoni Traverse","Stoney Whiteboots Boulder > Call Box Rocks > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/111362572/tufatafoni-traverse,3.7,-1,Boulder,V4,1,,38.57716,-123.34012
"Groove and Arete","The Boy Named Sue Boulder > Rock Creek Bouldering > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106784042/groove-and-arete,3.5,-1,Boulder,V4,1,15,37.5092,-118.7152
"Rated X","Rated X Boulder > Trailside Boulders > Summit Lake Area > Donner/Truckee Bouldering > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/117563211/rated-x,3.6,-1,Boulder,V4,1,13,39.34464,-120.33877
"Lynn Hill Memorial Face Problem","Lynn Hill Memorial Boulder > King Dome Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106118096/lynn-hill-memorial-face-problem,3.7,-1,Boulder,V4,1,20,34.00377,-116.14932
"The Nose","Treasure Chest Boulder > Treasure Cove > Castle Peak > Donner/Truckee Bouldering > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/110746024/the-nose,3.3,-1,Boulder,V4,1,15,39.34037,-120.36574
"Wein's Law","Rainbow C > Main Boulders > Rainbow > Donner/Truckee Bouldering > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/113010724/weins-law,3.3,-1,Boulder,V4,1,,39.31118,-120.51551
"Tall Boy","Tall Boy > Christmas Valley > Meyers Area > South Shore > Lake Tahoe > California",https://www.mountainproject.com/route/114405665/tall-boy,3.5,-1,Boulder,V4,1,,38.822,-120.02306
