Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Quantum Numbness","Spirit Molecule Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/121546221/quantum-numbness,2.5,-1,Boulder,V8,1,15,40.47724,-74.70133
"The Van der Wall","Spirit Molecule Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/121546180/the-van-der-wall,2.5,-1,Boulder,V8,1,15,40.47724,-74.70133
"Unfinished problem","Garrett Mountain > * bouldering Northeast NJ > c. NorthEast > New Jersey",https://www.mountainproject.com/route/107777870/unfinished-problem,3.0,-1,Boulder,V8,1,25,40.9005,-74.1729
"Round Bout Stand","Orange Hill Bouldering > Alpine bouldering > * bouldering Northeast NJ > c. NorthEast > New Jersey",https://www.mountainproject.com/route/119657120/round-bout-stand,1.0,-1,Boulder,V8,1,8,41.00391,-73.92532
